active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Melody Roberts,Carly Price",S21,2017,"Healthcare,Consumer Health and Wellness",0,"Chicago, IL",https://bookface-images.s3.amazonaws.com/small_logos/d04ff6a19ab10afb3e0382e2123517645c7ed8f5.png,"Liv Labs is a consumer healthtech company making modern solutions for incontinence. 29 million American women worry about leaking pee in public: an $8B market. Liv Labs is developing convenient self-care versions of proven-effective clinical treatments, including adaptive health coaching software and a novel continence pessary. Device inventor, Carly Price, reimagined the humble pillow for Casper and now leads digital retail design at Walmart. Company CEO, Melody Roberts, incubated digital service experiences now scaling globally at McDonald’s and Panera. We’ve raised $2.6M, including NIH and NSF grants, based on stellar effectiveness data and user feedback like, “With this, surgery is off the table.” US, European and Hong Kong utility patents have issued; Australia will soon. Our FDA-reviewed clinical trial launched at Northwestern University and continues at the OSU and UAB.",Liv Labs,"Chicago, IL, USA",Solutions for continence self-care,Active,"consumer-health-services,health-tech,medical-devices,digital-health",3,http://www.livlabsfitness.com
"Ivan Tsybaev,Max Glubochansky,Max Gusakov",S21,2019,Education,0,"Sunnyvale, CA",https://bookface-images.s3.amazonaws.com/small_logos/639a74b99945fd44c299d69ed80b3245dcd6d7d2.png,"Careerist is an ed-fintech platform that trains job seekers for tech careers (in QA, Sales, Support & more), finances them and automates their job hunting. Our B2B2C platform aggregates job seekers, tutors and employers – streamlining training and placement.

Techcrunch: ""Edtech meets SaaS in Careerist’s job placement learning platform. The startup trains job seekers through live and self-paced training taught by third-party tutors. The adaptive learning software is meant to help candidates prep for tech interviews. Once a candidate is well equipped, Careerist uses automation to help them apply for jobs.""",Careerist,"Sunnyvale, CA, USA",Learning platform for job seekers with job applications automation,Active,"education,fintech,recruiting",100,http://careerist.com/
Olusegun Owoade,S21,2021,"Industrials,Automotive",0,"Lagos, Nigeria",https://bookface-images.s3.amazonaws.com/small_logos/3354e34489d56a59c364c92cbf7d65cfee364055.png,"It is cumbersome to maintain/repair vehicles in Africa. Vehicle owners currently have 2 options to choose from; very expensive and geographically limited branded mechanic garages (less than 1% of the supply pool) or unvetted roadside mechanics (about 99% of the supply pool). 

About 95% of vehicle owners cannot afford branded garages where quality and reliable service delivery can be guaranteed and thus rely on roadside mechanics. However, low quality and transparency are typical issues associated with roadside mechanics. 

We created a network of vetted mechanics, spare part vendors and an app that enables easy booking, payment and mechanic matching process. Via the mecho app, a customer or business can make a request for any automobile service (repairs or regular servicing) or part. 



",Mecho Autotech,"Lagos, LA, Nigeria",On-demand  auto maintenance & repairs,Active,"auto-commerce,marketplace",35,https://mechoautotech.com/
"Alex Gordon,Peter Francis,Matthew Kang",S21,2019,"Healthcare,Medical Devices",0,"Toronto, Canada",https://bookface-images.s3.amazonaws.com/small_logos/3432070f3c596c704428f8721684045f22cb0714.png,"Revolve is building the world’s only surgical robot designed for every operating room. Its simple yet powerful design makes it the only robot that can service the 1M+ abdominal surgeries performed outside of hospitals in the US every year.

Revolve’s surgical robotics platform has been developed in collaboration with over 50 surgeons, resulting in a system that is just 1% of the size and cost of competitor devices. ",Revolve Surgical,"Toronto, ON, Canada",Surgical robotics for every operating room,Active,"hardware,medical-robotics",8,https://revolvesurgical.com/
David Akinin,S21,2020,"Fintech,Payments",1,,https://bookface-images.s3.amazonaws.com/small_logos/56e09091afb3367f2addeb05b958e4146172ceb8.png,"HQ in Namibia and Zambia, Jabu is a fintech startup providing digital wallet solutions to streamline transactions in Africa's cash-dominated economy, enhancing business efficiency and financial integration.",JABU,"Windhoek, Khomas Region, Namibia","B2B payments, transforming Africa's cash economy",Active,,40,http://www.gojabu.com
Fredrick Burns,S21,2020,B2B,0,"Dallas, TX",https://bookface-images.s3.amazonaws.com/small_logos/30ad58fe2e47b7bd28702a2603013a87e5e354bc.png,"Safer Management sells attendance software to public school districts and colleges. Public schools receive federal funding based on their average daily attendance, and our software ensures they get the money they need.

We started Safer Mgmt. 12 months ago after I dropped off my twin boys and experienced inefficiencies with the sign-in process. We are now in 75 public schools and two colleges with annual reoccurring revenue of $621,000. We have 82% margins and are profitable. At scale, we will charge $15 per student per year. 

There are 70 million public school students in America which is a $1.4 billion dollar market opportunity.",Safer Management,"Dallas, TX, USA",Student Attendance tracking for Public Schools,Active,"artificial-intelligence,education",5,https://www.safermgmt.com/
"Mila Dayan,Kyril Kulikov,Kirill Zakharov",S21,2021,"B2B,Operations",1,"Barcelona, Spain",https://bookface-images.s3.amazonaws.com/small_logos/490af3b3db6da49a5b8d11c3a79ffeee287b7747.png,"Beau helps to work with people outside your company: build, visualize, and automate your customer-facing processes! 🔥 All with one, easy-to-use solution: collect forms, accept payments, keep updated, request details, and approve steps!",Beau,"Barcelona, CT, Spain",Workflows for repetitive customer-facing tasks,Active,"saas,b2b,productivity,customer-success",5,https://beau.to
Will Bryk,S21,2021,B2B,9,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/52045f1870e5f9705f78339ab4b3f96126403b66.png,Exa is a search engine built for AIs. We enable developers to filter the internet's content with complex queries in order to bring the world's knowledge into their AI apps.,Exa,"San Francisco, CA, USA",Web search rebuilt for LLMs,Active,"artificial-intelligence,search,apis",7,https://exa.ai
"Francisca Noguera,Cristina Etcheberry,Enzo Tamburini",S21,2020,"B2B,Finance and Accounting",0,"Mexico City, Mexico",https://bookface-images.s3.amazonaws.com/small_logos/ecd9035c05570df39ab2d459dd2547e334bc92f0.png,"Toku helps companies increase their monthly revenue collection rate so they can focus on the their main business. Payment method management, failed payment retries, payment reminders, failed payment notifications, among others.",Toku,"Mexico City, CDMX, Mexico",Account Receivables Platform for Latin American Enterprises,Active,"finops,fintech,saas,payments",150,https://trytoku.com/
"Ahmed Omar,Ahmed Nasser",S21,2023,"B2B,Productivity",4,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/911656ff1b74ea563f6a15aeb96e439e4b168e0e.png,"Our Mission: ""One Human, One Doctor"".
Why? Because access to a doctor is a basic human right.

Customer: 
Healthcare Organizations

Product: 
All-in-one solution to save doctors time. 

Problem: 
Doctors spend 50% of their time on things other than patient care, and the other 50% is inefficient. 

Solution: 
All-in-one solution for doctors that saves time from pre, post, and during-visit. 

Opportunity: 
Over 1 Billion visits patient care visits occur in the US annually, and the current average cost per visit is $300. When future visits are done by an ASI (Artificial Super Intelligence) doctor at a 10x cheaper cost ($29 per visit), it’s $3.9B in revenue in the US only and $25B+ globally.",Sully.ai,"San Francisco, CA, USA",AI Medical Employees for Healthcare,Active,"saas,health-tech,b2b,healthcare,ai",12,https://www.sully.ai
