active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Artur Ribas,Marinho Gomes",W21,2020,Education,0,Brazil,https://bookface-images.s3.amazonaws.com/small_logos/e83582d0b32eab86c10b29e18381c37106d89179.png,"Kiwify enables anyone to create and sell their online course in Brazil.
We provide payment processing, video streaming and student management",Kiwify,"SC, Brazil",Create & sell online courses,Active,,200,https://kiwify.com.br
"Dzung Dang,Thang Nguyen",W21,2020,"Fintech,Credit and Lending",0,Vietnam,https://bookface-images.s3.amazonaws.com/small_logos/b845da29a5d48b75776ba0a4567d441e54d5cac3.png,"Nano is an income streaming app which pays workers daily instead of monthly for retailers and manufacturers in South East Asia. 

This is essential because these employers compete for workers with the gig economy, which pays daily with a flexible work schedule. 

Nano integrates seamlessly with any HRM/Attendance Software from employers, helping them save turnover costs and build a more engaged and productive workforce.",Nano Technologies,"Hanoi, Vietnam",Payroll app to pay workers daily for retailers & manufacturers in SEA,Active,fintech,17,http://www.vuiapp.vn
"Paul Huelskamp,Alexander Meek",W21,2020,"Industrials,Energy",0,"Richmond, CA",https://bookface-images.s3.amazonaws.com/small_logos/7085b1cacdc3678e771186e5b7922d0cb6e93100.png,"Moxion Power manufactures mobile energy storage products and technologies, which enable last-mile electrification in industries such as construction, transportation, events and entertainment, film production and telecommunications. ",Moxion Power Co.,"Richmond, CA, USA",Mobile Energy Storage Technology,Inactive,"energy-storage,climate,energy,renewable-energy",380,https://www.moxionpower.com/
"Aadit Palicha,Kaivalya Vohra",W21,2020,"Consumer,Food and Beverage",0,India,https://bookface-images.s3.amazonaws.com/small_logos/b419835c59c3d3a4db7e0aaf094b54bb5cee0adb.png,"We deliver groceries in 10 minutes through a network of optimized micro-warehouses or 'dark stores' that we build across cities in India.

We're currently doing hundreds of millions of dollars in annual sales with best-in-class unit economics - come join us!",Zepto,"MH, India",10-Minute Grocery Delivery in India,Active,grocery,1300,https://www.zeptonow.com/
"Ben Eluan,Israel Akintunde,Osezele Orukpe",W21,2020,"Fintech,Payments",0,"Lagos, Nigeria",https://bookface-images.s3.amazonaws.com/small_logos/4a0fc23e62bbe4d36af07ab93903e299d59ef9e1.png,"We are building Flux- Flux is a Mobile App for merchants, freelancers, regular users(P2P) to make and accept payments from their customers anywhere in the world using crypto or fiat.
We have built a mobile app that uses the merchants’ phone number, creates a wallet enabling them to receive payments in crypto or fiat without having to go to an exchange or pay expensive fees. Merchants can accept payments in crypto or in fiat.
Payments made in Crypto can easily convert into fiat due to the built in fast reconciliation and is made available for spending immediately.
Currently the vast majority merchants receive payments in crypto because of two issues (1) Paypal, Venmo, CashApp or Square to not exist in Africa and (2) the local currency fluctuates more than bitcoin due to inflation. But in order for merchants to receive money in crypto and exchange it into fiat they resort to crypto exchange apps and crypto addresses to receive payments which is a very complicated and expensive process. Merchants want to be paid quickly with the lowest amount of fees possible. This is why we are building Flux",Flux,"Lagos, LA, Nigeria",Cross border Payments infrastructure for internet businesses and…,Active,defi,8,https://iflux.app
"Virgile Fiszman,Federico Moscato",W21,2020,"B2B,Retail",0,"Mexico City, Mexico",https://bookface-images.s3.amazonaws.com/small_logos/d9238e86542fecb16b8599ba8f4748c9160f7266.png,"Meru is a platform that is optimizing the automotive aftermarket supply chain for mechanics in Latin America.
",Meru.com,"Mexico City, CDMX, Mexico",The one-stop-shop for auto-parts in Mexico.,Active,fintech,70,https://meru.com
"Joseph Ifiegbu,Gabe Horwitz,Ethan Veres",W21,2021,"B2B,Human Resources",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/24f8cacce5d2f2682093390e63f96ed44a2c1e4f.png,"At eqtble, we’re on a mission is to empower companies to make more equitable decisions around their employees. We're building a people analytics platform that enables talent and people leaders to access a rich set of analytics and insights out of their existing data.

Within a short time period, we've vaulted to the top of the HR tech industry with our tech-first people analytics solution. With customers such as Etsy, Chobani, Nuro, Harrys, Checkr - eqtble is on a path to being the leader in the people analytics space.",eqtble,"New York, NY, USA",Turning HR data into actionable insights,Active,"saas,human-resources,b2b",5,https://eqtble.com/
"Chandell Stone,S. Aaron Andrew,Jazel Smith",W21,2020,Education,0,"Marlboro, VT",https://bookface-images.s3.amazonaws.com/small_logos/f98d5999e4507df5f73229bb5fb875b5a30a9818.png,"Degrees of Freedom offers a high-quality, low-cost degree, by blending virtual and traditional college models. Our students learn on-campus, and online on-line, and in-VR from diverse Ivy League professors and master teachers-- all at the cost of the Pell Grant
",Degrees of Freedom,"Marlboro, VT, USA","DoF provides a high quality, affordable higher education alternative.",Inactive,"education,virtual-reality",7,https://www.DegreesOfFreedom.org
"Jeffrey Morgan,Michael Chiang",W21,,"B2B,Infrastructure",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/c1121bda8391be946b0390232fa3c953a095536e.png,,Ollama,"Palo Alto, CA, USA",Get up and running with large language models.,Active,"developer-tools,open-source,ai",,https://ollama.com
"Phil Daneshyar,Richard Fleeman,Rob Gallagher",W21,2018,"Fintech,Credit and Lending",0,"Birmingham, United Kingdom",https://bookface-images.s3.amazonaws.com/small_logos/12721c77ec6abed4cfdc871f289cbeee71a330f6.png,Kanda is building Affirm for general contractors. We allow contractors to offer financing to homeowners who want to remodel but can’t pay the full price upfront.,Kanda,"Birmingham, England, United Kingdom",Affirm for general contractors,Active,"fintech,saas",8,https://www.getkanda.com/
