active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Jorge Escobedo,Wojciech Gryc",S12,,"B2B,Analytics",0,New York,,"Every customer reaches a buying decision in their unique way – Canopy Labs helps businesses to track and optimize their customer journey.

Using our platform, businesses can plan more targeted marketing campaigns and optimize their lead lists, with a focus on maximizing revenue and sales growth. Our platform is currently being used in a variety of industries, including sports, ticket sales, daily deals, and online retail, and customers ranging from $10B retailers to small online businesses.

Canopy Labs has offices in Toronto and New York City. The company is led by CEO Wojciech Gryc, who is a former McKinsey consultant and Rhodes Scholar, and CTO Jorge Escobedo, who has a PhD in Theoretical Physics and researched string theory. It is backed by Y Combinator, BDC IT Ventures Fund, and Valar Ventures.",Canopy Labs,"New York, NY, USA",Canopy Labs automates customer analytics for small and medium-sized…,Inactive,"artificial-intelligence,analytics,marketing,crm",11,http://canopylabs.com
Montana Low,S12,,"Consumer,Content",0,"Seattle, WA",,"Handcrafted iPhone travel guides that are free, offline, and just plain full of awesomeness.",TomoGuides,"Seattle, WA, USA","Mobile travel guides done right.  Personalized, context-aware, and…",Inactive,travel,2,http://tomoguides.com
"Austin Lockwood,Haomiao Huang,Michael Vitus",S12,,"Industrials,Drones",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/78d11da542ca4d82bd77196e0fab2a58f5dafd2c.png,aerial videography,Arc,"Palo Alto, CA, USA",aerial videography,Inactive,"robotics,drones",2,http://arccameras.com
Cyrus Lohrasbpour,S12,,"B2B,Marketing",0,Mountain View,,LeanMarket discovers the highest performing placements of advertising that allows users to build an ideal campaign based off in-depth reporting.,LeanMarket,"Mountain View, CA, USA",Mobile advertising,Inactive,advertising,2,http://lean.com
Gabe Ragland,S12,,"Consumer,Content",0,San Francisco,,"imgfave is a place to discover and share images. They allow users to collect favorite images and organize them into fun collections like humor, art, photography, fashion, weddings and more.",Imgfave,"San Francisco, CA, USA",A fun image sharing community.,Inactive,"community,social",2,http://imgfave.com
"Markus Jura,Martin Poschenrieder",S12,,"B2B,Engineering, Product and Design",0,CA,,Test your app on a large pool of Android and iOS versions and devices. No need to constantly buy and upgrade your devices. Testmunk ensures complete device and OS coverage currently available on the market. Devices are non-jailbroken. We support native and hybrid apps.,Testmunk,"CA, USA",Automating mobile app testing.,Inactive,,2,http://testmunk.com
"Tyler Menezes,Paul Cretu,Vu Tran,David Tyler",S12,,"Consumer,Content",0,San Francisco,,"Framebase is programmatic video.

Writing applications which use video in a meaningful way is extremely difficult. And then there's the maintenance.

Framebase makes video a first-class object. Instead of hiring a team to deal with transcoding configurations, device compatibility bugs, or CDN contracts, Framebase lets you add two lines of code to start treating videos as class instances.

Framebase is a pivot of TapIn.tv, which is a Y Combinator S 2012 company.",Framebase,"San Francisco, CA, USA",API for video.,Inactive,"video,api",2,http://framebase.io
"Rosanna Myers,Alex Shkolnik,Arjun Vasan",S12,,"Consumer,Home and Personal",0,,,,Airshared,,TBD,Inactive,,0,http://getcycle.com
"Ben Lerner,Victor Jakubiuk",S12,,"B2B,Engineering, Product and Design",0,New York,,"DataNitro integrates Excel with Python.

It's the easiest way to get data in to and out of Excel, to automate your workflow, and to run sophisticated mathematical, statistical, or financial calculations in your spreadsheet.",DataNitro,"New York, NY, USA",We speed up Excel.,Inactive,analytics,11,http://datanitro.com
"Josh Leong,Michael Lin,Matt Monson",S12,,Consumer,0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/4b2802a0460f1e95f6ac6b6390c609460ead9b86.png,,Grid,"Mountain View, CA, USA",,Inactive,,0,http://
Matthew Huebert,S12,,"B2B,Productivity",0,,,,Sparkboard,,,Inactive,,1,http://sparkboard.com
"Sean Ahrens,Will Cole",S12,2011,"Healthcare,Consumer Health and Wellness",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/581e30f73695b352e8d78dfadf084d9942eed724.png,"Crohnology is a global online symptom and health tracking network of over 27,000 patients with Crohn’s & Ulcerative Colitis. Performed research collaborations with University of North Carolina, the Crohn’s & Colitis Foundation of America, Genentech, and Qu Biologics among others. ",Crohnology (by Healthy Labs),"San Francisco, CA, USA",We turn Patients into Researchers.,Inactive,"consumer-health-services,social-network",1,http://crohnology.com
"Alagu M,Rajagopal Natarajan,Surendran Mahendran",S12,2012,"B2B,Engineering, Product and Design",0,"Bengaluru, India",https://bookface-images.s3.amazonaws.com/small_logos/ee21082d6cb8096eeec027fb12b3d4e3cf1392ca.png,"A product that takes PSD files and generates HTML / CSS automatically, and asks a few questions to generate the view templates with a few simple inputs from a backend developer.",Markupwand,"Bengaluru, KA, India",Convert Design files to working websites automagically,Inactive,,3,http://markupwand.com
"Sohail Prasad,James Levy",S12,,"B2B,Analytics",0,San Francisco,,"Hiptype brings analytics and targeted advertising capabilities to the most popular eBook platforms, where these powerful features have never before been possible.

Hiptype's patent-pending plugin for books captures demographic and book performance data that can be used to power in-book targeted advertising and automated book marketing campaign optimizations.

Hiptype's founding team has previously designed and engineered products at Google, Turntable.fm, and mobile advertising platform Chartboost.",Hiptype,"San Francisco, CA, USA",Hiptype is a marketing and analytics platform for eBooks. We can…,Inactive,"e-commerce,analytics",2,http://hiptype.com
"Karri Saarinen,Jori Lallo",S12,2012,"B2B,Productivity",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/9d98fc062196e2475faebc1faf419fb128fc4b97.png,"Kippt is a collaborative bookmarking system for professional networks that lets employees teach and share with each other on a dedicated platform.

When you collect something to Kippt, the page and the content will be searchable, organizable, readable on your devices and easily shared with other people.",Kippt,"San Francisco, CA, USA",Kippt is a social bookmarking service,Inactive,social,2,http://kippt.com
"Bryan Kim,Mazy Kazerooni",S12,,"Consumer,Content",0,,,The best way for artists to release new music and videos.,Hipset,,The best way for artists to release new music and videos.,Inactive,"entertainment,video",0,http://tracksby.com
"Liyan David Chang,Brett van Zuiden,Anand Dass,Thomas Georgiou",S12,2012,"B2B,Productivity",0,"San Antonio, TX",,"Filestack helps 100,000 apps access, personalize and embed end user content, all in one API. Filestack handles all steps in a company's file journey while providing custom built machine learning models and enhanced upload reliability to deliver the ultimate content experience.


We are culturally diverse with folks from Canada, IE, Poland, Ukraine, South Africa, India, Boston, Colorado, and North Carolina.",FileStack,"San Antonio, TX, USA",Acquired by Xenon Ventures.We enable website developers to hook into…,Inactive,,50,https://www.filestack.com/
"Jordan Lee,Tony Xiao",S12,,"Consumer,Home and Personal",0,Mountain View,,"Collections is a cross-platform personal content manager built for the age of cloud computing. It gives you access to everything you have stored in cloud services like Dropbox and Google Drive and in web apps like Facebook and Instagram, as well as your local files. As a universal finder for the cloud, Collections lets you bring together all of your most important digital content, helping you to regain control over your online presence.

What would Apple's Finder look like if it were invented today, rather than in 1983? Collections is an Internet-age personal content manager, a fundamental reinvention of the file manager that lets you easily access and organize all of the digital content you have that's currently scattered across a dizzying array of cloud storage providers and web apps. It's a file system for the web.",Collections,"Mountain View, CA, USA",Finder for the Cloud,Inactive,,2,http://collections.me
"Neil Joglekar,Christian Yang",S12,,"Consumer,Social",0,"Menlo Park, CA",,"ReelSurfer lets anyone clip and share any video from any website. The vision is to build the most valuable content network on the planet – created by personal libraries of short, relevant videos that are saved, watched and shared with friends.",ReelSurfer,"Menlo Park, CA, USA",Clip and share any video from any website.,Inactive,"video,social",2,http://reelsurfer.com
Nemil Dalal,S12,,"B2B,Engineering, Product and Design",0,San Francisco,,"We believe that 3D printing will fundamentally reshape our relationship with the products and items we use. At Dreamforge, we'll strive to show our beliefs in big ways and small in the products we build and in the example we set.",Dreamforge,"San Francisco, CA, USA",Simple 3d modeling software for 3d printers.,Inactive,3d-printing,2,http://dreamforge.me
"David Matthews,Baldwin Cunningham,Stuart Ross,Cullen Wilson",S12,,"B2B,Sales",0,San Francisco,,Partnered is the exclusive digital network connecting leading brands and emerging tech companies. Visit Partnered.com to request access.,Partnered,"San Francisco, CA, USA",Partnered is a digital platform automating business development…,Inactive,"b2b,marketing",11,https://
"Bryan Beshore,Garrett Wilson",S12,,"B2B,Supply Chain and Logistics",0,San Francisco,,"Keychain Logistics is a software marketplace that directly connects companies shipping products with independent semi-truck owner-operators. Our platform effectively cuts out the traditional third-party logistics brokerage process by virtue of a software enabled network of virtual carriers (trucks on the go in our network). We understand where trucks in our network are at any given moment, their capacity, and if they would be an ideal match for a company shipping.",Keychain Logistics,"San Francisco, CA, USA",Software that connects the supply side of companies that ship product…,Inactive,"logistics,supply-chain",2,http://keychainlogistics.com
Anantha Katragadda,S12,,"B2B,Operations",0,Mountain View,,"Profig provides transcriptions, call tracking, voice broadcasting, CRM integration and other custom features to businesses.",Profig,"Mountain View, CA, USA",The phone system for businesses. Manage everything from your company…,Inactive,telecommunications,2,http://profig.com
"Connor Zwick,Colton Gyulay",S12,,"Consumer,Consumer Electronics",0,,,We're building a tactile gaming controller for mobile phones.,Coco Controller,,We're building a tactile gaming controller for mobile phones.,Inactive,,0,http://milkshakelabs.com
"Joe Fraiman,Kyle Larson,Esther Park Hallam,Juan Vasquez",S12,2012,"Consumer,Home and Personal",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/f1420564e70451304009f96b2ea68b747a473c01.png,"Tastemaker aims to make interior decorating affordable and accessible to everyone.

We believe that everyone should have a beautiful home, and that a little help from a pro can make all the difference in the world. Our mission is to make hiring an interior decorator easy, fun, and affordable.",Tastemaker,"San Francisco, CA, USA",Interior design marketplace and online retailer,Inactive,design-tools,11,http://tastemaker.com
Marika Chen,S12,,"Consumer,Home and Personal",0,"Cupertino, CA",,"The first wedding registry to co-operate with independent retailers & big box stores, RegistryLove lets you register products and services from anywhere & consolidate them all onto ONE registry. From traditional department store items, to local gems you wouldn't find anywhere else, to your dream honeymoon & activities, RegistryLove is a service tailored to _you_.",RegistryLove,"Cupertino, CA, USA",Cross-store wedding registry.,Inactive,e-commerce,11,http://registrylove.com
"Colin Hayhurst,James Cunningham",S12,2011,"B2B,Infrastructure",0,"London, United Kingdom",,,GoScale,"London, England, United Kingdom",Dynamical Scaling Virtual Machines as a Service,Inactive,saas,2,http://goscale.com
"Ela Madej,Mariusz Lusiak,Joanna Socha",S12,,"B2B,Engineering, Product and Design",0,,,,Credictive,,Attribution metatags for online content.,Inactive,analytics,0,http://credictive.com
"Sam O'Keefe,Ernie Park,Ryan Jackson",S12,,"B2B,Human Resources",0,"Hamlin, NY",,"MicroEval will help you create modern, helpful performance reviews.

It’s the day of your annual performance review. You’re nervous, and rightfully so! After this meeting you’ll know whether or not you got that raise, if your work has been acceptable or if you should start looking for a new job. No one likes them. In fact, we didn’t even like them...that is until we decided that they didn’t have to be this way.

Why shouldn’t performance reviews be helpful? Why shouldn’t they help you improve and grow your skillset? Exactly what we thought.

Inspired by personal experiences, our team came together to help transform the performance review process into a worthwhile, meaningful and easy process.

Who are we to take on this challenge you ask?",MicroEval,"Hamlin, NY, USA",Changing the way companies review employee performance with…,Inactive,,2,http://microeval.com
"Weiting Liu,Yu-Kuan Lin,Yu-Te Lin",S12,,"Consumer,Social",0,,,Everyday.me is an automatic journal that helps you to record your life and store it forever.,Everyday.me,,Everyday.me - Record your life.  Store it forever.  ,Inactive,video,11,http://everyday.me
"Brian Nguyen,Peter Shih,Chris Tsai",S12,,"B2B,Retail",0,San Francisco,,"Celery emerged from Y Combinator in 2012 with one goal: to help you sell your great ideas, better. Filling a void in e-commerce, Celery has become the single-stop for innovative brands – large and small – to take pre-orders, crowdfund independently, and to continue selling before and after items are in-stock. Today, Celery has helped thousands of businesses launch their way by providing the tools to crowdfund and pre-sell independently.

Celery is founded by a team crowdfunding and e-commerce experts and alums from MIT, Stanford, Groupon, LinkedIn and Foursquare, and is venture-backed by Y Combinator, General Catalyst, Elementum Ventures, Max Levchin, SV Angel, and other top investors.",Celery,"San Francisco, CA, USA",Celery is a platform for pre-orders (www.trycelery.com). Accept…,Inactive,"e-commerce,crowdfunding",11,https://trycelery.com
Ron Pressler,S12,,"B2B,Infrastructure",0,,,"Parallel Universe, a Y-Combinator startup, helps developers utilize the most out of their hardware. With a server side stack developed for easy concurrency programming, you can ditch the extra servers and write simple multi-threaded code.",Parallel Universe,,Helping developers scale their applications with ease. ,Inactive,devops,2,http://paralleluniverse.co
"Sid Doshi,Kyle Azevedo,Koji Intlekofer,Yuriy Romaniw",S12,,"Consumer,Transportation Services",0,"Atlanta, GA",,"viaCycle brings affordable, sustainable transportation to areas that need it most.  Our revolutionary bike sharing technology can create a bike program anywhere, in days rather than months.

ViaCycle is committed to the ideals of sustainability – enduring economic prosperity, interconnected, sustainable mobility, and a healthier way of life.  We combine new ideas in transportation with cutting edge IT to achieve these ideals and open new channels for people to live and work the way they want.",Viacycle,"Atlanta, GA, USA","viaCycle makes simple, inexpensive bicycle sharing systems that allow…",Inactive,,2,http://viacycle.com
Aston Motes,S12,,"B2B,Productivity",0,,,,Assorted Bits,,A mobile calendar for all the fun stuff you do with friends.,Inactive,,0,http://youthere.com
"Jaigouk Kim,Kirill Zubovsky,Jennifer Toda",S12,,"B2B,Engineering, Product and Design",0,Palo Alto,,"Scoutzie is the best way to find the right designer for your project. We connect top designers from around the world with customers seeking professional design services.

--------------------------------------------------

Finding the right person to help you solve a problem shouldn’t be about knowing that person in your circle of acquaintances. The world is getting more and more connected. Everyone should have access to the world’s talentpool.

Scoutzie connects you to designers with proven portfolios. We enable you to collaborate directly with some of the best design talents that the world has to offer. We are an exclusive community where each of our members is represented solely through the merits of their work.",Scoutzie,"Palo Alto, CA, USA",Scoutzie is a curated community for the best mobile designers. If…,Inactive,design,2,http://scoutzie.com
"Rob Attorri,Chris Granger",S12,2012,"B2B,Engineering, Product and Design",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/f9b82ad82bf791ddcde3801093e4022a5df0d478.png,"Light Table is a new interactive IDE that lets you modify running programs and embed anything from websites to games. It provides the real time feedback we need to not only answer questions about our code, but to understand how our programs really work.",Light Table/Eve,"San Francisco, CA, USA","Eve is our way of bringing the power of computation to everyone, not…",Inactive,"developer-tools,hard-tech",5,http://kodowa.com
"Kieran O'Neill,Ben Phillips",S12,,"Consumer,Home and Personal",0,United Kingdom,https://bookface-images.s3.amazonaws.com/small_logos/86ca356b3358da854efd0d67a6b9ba13be4acfcb.png,"Thread, a free online personal styling service for men, uses a combination of human stylists and a powerful algorithm to make it easy for guys to dress well. Thread was founded in 2012 by three guys—Kieran, Ben and Ben—who wanted to dress well, but found it difficult or frustrating to do so: they hated shopping on the High Street and were overwhelmed by millions of choices online. 

Thread combines the best bits of tech with the best bits of personal styling: After signing up by completing a short questionnaire and uploading photos of yourself, you’re paired with a stylist who reviews your information and uses Thread’s proprietary algorithm to sort through thousands of items to create the best outfits for you. When you log onto Thread, everything you see is tailored to your sizes, budget, preferences and tastes. 

We’ve raised $16 mm in funding from investors in the realms of tech, Artificial Intelligence and fashion, including Beringea, Balderton Capital, Demis Hassabis and Mustafa Suleyman (co-founders of Google-owned DeepMind), Andrew Jennings (former president of Saks 5th Avenue), Edgar Bronfman Jr. (former owner of Warner Music), Guy Hipwell (former head of online at Harrods and Liberty) and Shakil Kahn (founding investor in Spotify).",Thread,"England, United Kingdom",Thread makes it incredibly easy to dress well. We do this by giving…,Inactive,"e-commerce,retail",92,http://thread.com
"Alek Strygin,Ilya Gluhovsky,Alek Vernitsky",S12,,"Consumer,Travel, Leisure and Tourism",0,"Redwood City, CA",,"GetGoing is a travel technology company simplifying the business of travel so that our partners can focus on running their core business.  Our travel search, booking, and advertising solutions seamlessly integrate complex technology and award-winning product design to serve the modern consumer and increase profitability for our partners.  Our clients include Fortune 500 corporations, travel management companies (TMCs), airlines and hotel chains, incentive management companies, and online retailers.",GetGoing,"Redwood City, CA, USA","We are building a ""transparent opaque"" airfare and hotel booking site…",Inactive,"travel,booking",11,http://getgoing.com
"Paul Colton,Kevin Lindsey",S12,2012,"B2B,Infrastructure",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/a8ce36b7cc090f269ccda83063e61196068ef7a9.png,"Pixate was acquired by Google, Inc. in July 2015. *

Pixate was founded in May 2012 with the goal of enabling designers and developers to create beautiful, native mobile apps quickly and easily. Pixate's flagship product, the Pixate Engine for iOS, integrates a CSS-based styling engine, graphics rendering system, and a SVG-subset for supporting scalable vector graphics. The CSS-based stylings can be changed at run-time and can be downloaded and updated on-demand. The Pixate Engine for iOS version 1.0 is currently available for purchase or for trial download at pixate.com. Pixate was a Y-Combinator Summer 2012 participant and raised early funding through a successful Kickstarter campaign in 2012.",Pixate,"Palo Alto, CA, USA",Mobile application prototyping. Now part of Google.,Acquired,design,10,http://pixate.com
"Ariel Braunstein,Scott Kabat",S12,,Education,0,San Francisco,,"Knowmia is a destination for learning that features short video lessons from great teachers everywhere. We help you to find what you need to succeed in school in a personal, affordable, and time-efficient way. By bringing together a wide range of video lessons and making it easy to find what you need, we help you with challenging topics, prepare you for an upcoming test or new course, and find the right teacher for your style of learning.",Knowmia,"San Francisco, CA, USA",Pandora meets Yelp for K-12 educational videos.  We match each…,Acquired,"education,video,personalization",11,http://knowmia.com
"Matt Tran,John Ulmen,Sanjay Dastoor",S12,,"Consumer,Consumer Electronics",0,Mountain View,,"Boosted designs and builds powerful lightweight electric vehicles that are extremely fun to ride and perfect for the last mile of your commute. We're driven by a passion for longboarding, electric vehicles, and beautiful design. Check us out at BoostedBoards.com!",Boosted,"Mountain View, CA, USA","Simple, fun, and fast electric vehicles.",Acquired,electric-vehicles,51,http://boostedboards.com
"James Harvey,Yuran Lu,Shuang You",S12,,"B2B,Productivity",0,,,,ZeroMailer,,Easy mailing lists,Acquired,,2,http://zeromailer.com
"Adi Rathnam,Kevin Wang,Matt Zitzmann",S12,,"Consumer,Gaming",0,San Francisco,,"Our core thesis at Kamcord was that people do very interesting things on their phone screen but don't have a good way to capture and share those moments.

We've built 3 products in 5 years:
- A mobile gameplay recording SDK that was on 200M devices at its peak
- A live streaming community that reached 2M MAU and $2M ARR off virtual goods
- A mobile social app focused on editing and sharing screenshots and screen recordings",Kamcord,"San Francisco, CA, USA",,Acquired,,11,http://kamcord.com
"John Le,Greg Laughlin",S12,2012,"B2B,Analytics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/528caf062f0a81ecfc8687eb03b284b2ed65207e.png,Web-based statistical analysis software that speaks in plain english instead of arcane stats jargon.,Statwing,"San Francisco, CA, USA",Dead simple statistical analysis software. Like R or SPSS but easy to…,Acquired,analytics,2,http://statwing.com
"Nimit Maru,David Yang",S12,2012,Education,0,New York,https://bookface-images.s3.amazonaws.com/small_logos/eeb2ad7ced858606eca70b49c48de9f791e4b000.png,"Fullstack Academy's JavaScript-driven curriculum immerses you in the latest web technologies including Node.js, AngularJS and MongoDB. You bring the energy, curiosity and dedication — we'll provide a world-class school for becoming an expert software developer.

New to programming or looking for a more flexible schedule? Check out our range of part-time classes. From beginner courses like JavaScript Jumpstart and Introduction to Front-End Development, to the in-depth Flex Immersive, Fullstack's courses will teach you how to think like an engineer.",Fullstack Academy,"New York, NY, USA","Immersive, effective, efficient code education. Acquired by Zovio…",Acquired,"education,coding-bootcamps",170,http://fullstackacademy.com
Brad Phaisan,S12,,"B2B,Marketing",0,San Francisco,,"OmniVirt is 360° Virtual Reality advertising platform for brands and publishers. Audiences can view 360° content with just one tap of their fingertip on smartphones, tablets and websites. No app installation or VR headset required. HTML5 / VAST complaint.

Our company is specialize in mobile formats, the network optimizes revenue for publishers and serves billions of ad impressions in more than 200 countries.",OmniVirt,"San Francisco, CA, USA",OmniVirt is the leading VR Advertising platform for brands and…,Acquired,advertising,15,https://www.omnivirt.com
"Ritik Malhotra,Tanooj Luthra,Samvit Ramadurgam",S12,2012,"Consumer,Content",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/2049850051a3ec57117c5b9047ec860b912f8bf6.png,"Streem (https://www.streem.com) offers unlimited cloud storage for your media. Store, stream, and share all your favorite movies, photos, music, and more with your friends!

Streem is a magical drive on your device that lives in the cloud and gives you unlimited space. You can put files into Streem, free up space on your computer and mobile devices, and instantly access and share your content anywhere, anytime. Unlike other cloud storage tools, Streem takes up no space on your computer, but still gives you instant access to your files without any lag. All media on Streem is converted on-the-fly so you can access it seamlessly regardless of the device or bandwidth.",Streem,"San Francisco, CA, USA",Acquired by Box in June 2014. We built: (1) a native win/mac…,Acquired,,4,https://streem.com
