active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Brendan Irvine-Broque,Matt Insler",W14,,"Consumer,Social",0,San Francisco,,"Awesometalk is based out of San Francisco. We provides simple, free video calling.

We are insanely focused on making communication simple. We don’t like logging in, remembering passwords, or teaching our parents how to use Skype. Don't suffer the ""add me on Skype dance"" anymore!",Awesometalk,"San Francisco, CA, USA",Free video calling without the hassle.,Inactive,video,2,http://awesometalk.com
"Aaron Muszalski,Nicole Aptekar,Ian Baker,Jared Grippe",W14,,"B2B,Productivity",0,San Francisco,,Threadable is a mailing list management solution that makes group email less noisy and more actionable.,Threadable,"San Francisco, CA, USA","Mailing lists 2.0. 
Threadable makes group email less noisy and more…",Inactive,"messaging,email",2,http://threadable.com
Emmie Chang,W14,,"Consumer,Home and Personal",0,"Hughson, CA",,"FutureLeague (previously known as Camperoo) teaches kids ages 6-12 engineering and programming with a focus on teamwork, creativity, and design thinking. Kids level up in skills while participating in hands-on projects to reach 100 hours of instruction, similar to going from white belt to black belt in martial arts. They also host corporate team building events with Fortune 500 companies to foster design thinking and innovation.

FutureLeague is a Y-Combinator backed startup based in SOMA, San Francisco.  Emmie Chang, CEO/ Founder, previously created the largest summer technology camp in Texas and math ed-tech software that was used in over 35 school districts serving hundreds of thousands of students.",Futureleague,"Hughson, CA, USA","Engineering and Programming for Kids 6-12 with a focus on creativity,…",Inactive,education,10,http://www.futureleague.co
"Lauren Kay,Kate Bambino,Emma Tessler",W14,,"Consumer,Social",0,New York,,We're a Y Combinator W'14 class. We use matchmakers to set up group dates. What Uber has done for transportation - we're doing for dating. Members can book high quality dates on their schedule with the click of a button. Dating Ring is live in NYC and SF and will be launching next in Boston and LA.,Dating Ring,"New York, NY, USA",In person matchmaking meets group dating. We do the work. You go on…,Inactive,dating,2,https://www.datingring.com/
Kevin Tom,W14,,"B2B,Office Management",0,San Francisco,,"Yumbins are mobile POS-powered self-checkout markets that offer a curated mix of the highest quality and healthiest snacks, beverages and essentials to office employees. Think of us as the Square for self-checkout meets on-site mini-Whole Foods.

Vending is a stagnant $43 billion industry that has suffered from expensive proprietary hardware, onerous payment acceptance and limited (often wildly unhealthy) selection. We replace this hardware with lightweight software that enables customized product selection and seamless checkout. Offices no longer need to sully their breakrooms with unsightly machines selling stale snacks; rather, they can enjoy the clean and minimal retail look of our Yumbins chock full of delicious products. 

Initially, we are targeting workplaces where employees pay for snacks, which are the large majority of corporate offices and manufacturing facilities. 1.2M of these sites fall into our target market, of which roughly 50% have vending machines today.",Yumbin,"San Francisco, CA, USA",App replaces office vending.,Inactive,food-&-beverage,0,http://yumbin.com
Giancarlo Daniele,W14,,"Consumer,Consumer Electronics",0,"Stanford, CA",,"Drive Pulse is an innovative new device & iPhone app to manage & monitor your cars when you can't be there.

Your Drive Pulse plugs into your car's data port in seconds. Every car built after 1996 has an OBD-II data port under the dash. Plug in your Drive Pulse, install the app, and get started in just a few minutes.

Drive Pulse is always on and stays connected thanks to cellular technology and a data plan, similar to the one you have for your smartphone. As long as your car is in an area with adequate T-Mobile data coverage, you can enjoy the peace of mind knowing that your car is safe.",Drive Pulse,"Stanford, CA, USA",Device tracks & monitors your car,Inactive,"hardware,iot",2,http://drivepulseapp.com
"Brian Martinez,Lance R. Pickens,David Rorex",W14,,"Industrials,Manufacturing and Robotics",0,"Emeryville, CA",,"MadeSolid is a hardware company that develops high-quality materials with 3D printing applications. With a team of experienced chemists and engineers, the MadeSolid develops functional materials for 3D Manufacturing real products. MadeSolid is based in Emeryville, California.",MadeSolid,"Emeryville, CA, USA",Functional 3D printing materials.,Inactive,"3d-printing,advanced-materials",2,http://madesolid.com
Ryan Smith,W14,,"Consumer,Home and Personal",0,San Francisco,,"Move Loot offers a much-needed service to individuals buying and selling used furniture. There is currently no option in the market that optimizes your time and money while offering this unique user-friendly experience. We realize that in order to avoid the hassle, you end up buying new... harming your wallet and the planet! 

Move Loot solves your dilemma by creating an online marketplace where users can post furniture to sell, find furniture to purchase, and select delivery personnel to complete the process.  Imagine online shopping meets ride-sharing meets an ice cream sandwich!",Move Loot,"San Francisco, CA, USA",Move Loot is the most convenient and economical way to buy and sell…,Inactive,"marketplace,furniture",51,http://moveloot.com
"Ahmed Galal,Mostafa Gazar,Wael Nafee",W14,,"Fintech,Asset Management",0,"Santa Clara, CA",,"HoverChat is an app focused on making messaging more of a multi-tasking experience and allow users to use the messaging service without interrupting their work flow.

The app is currently available on Android phones.",HoverChat,"Santa Clara, CA, USA",Message without interrupting what you're doing,Inactive,messaging,11,http://hoverchat.com
Jason Aramburu,W14,,"Industrials,Agriculture",0,"Oakland, CA",,"The Edyn smart garden system lets you know what’s happening in your garden at all times. Whether you’re a novice gardener or managing a small-scale organic farm, Edyn is there to take the guesswork out of gardening. Inserted in the soil, the Edyn Garden Sensor gathers and analyzes data about changing weather and soil conditions. The Edyn App displays this data as a real-time snapshot of your garden, and pushes alerts and suggestions to maximize plant health. A separate component, the Edyn Water Valve, uses the data collected by the sensor to smartly control your existing watering system, watering your plants only when needed. With advanced tracking technology and intuitive design, the Edyn smart garden system keeps you connected to your garden or farm so you can grow healthier plants.",Edyn,"Oakland, CA, USA",Nest for lawn and garden,Inactive,"iot,agriculture",2,http://edyn.com
Yvonne Lin,W14,,"B2B,Office Management",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/6fa82119db4f3b74659e7dd454524af7dd633618.png,"MerryMint helps you discover and book virtual activities & experiences that your team can do together from home. Learn or experience something new from expert guides. 
",MerryMint,"San Francisco, CA, USA",Virtual activities for remote teams,Inactive,"team-collaboration,remote",1,http://merrymint.co
Jamal Ashraf,W14,,Consumer,0,,,,Shopagram,,Next Generation Home Shopping Network,Inactive,e-commerce,1,http://shopagram.co
Robert Morris,W14,,"Industrials,Agriculture",0,"San Leandro, CA",,"TerrAvion provides high revisit rate aerial imagery for agriculture.  Since 2016 we have been the largest volume provider.  


TerrAvion Aerial is the best value for growers in imagery:  
   -Imagery helps you to act in season in a comprehensive and quantitative way
   -Satellites aren't reliability and lack sufficient resolution for agronomic decision-making
   -Drones don't scale, and thus are expensive and a hassle
   -TerrAvion beats all competitors on cost/value, flight rate, reliability, speed, and open API
   -TerrAvion's service allows imagery to be used in tangible value creating use cases with agronomic support

TerrAvion creates the most value for our agronomic partners:
   -Excellent margins are possible when customers are concentrated, still affordable when in new markets
   -Our program allows for bundling, particularly with agronomic recommendations
   -We stay out of the advice and prescription side of things to make our agronomic partners stars
   -Partners have full access to API with all data we collect for use in all their applications
   -We handle the technical aspects of aerial imagery delivery and education with in-field support under our co-delivery model",Terravion,"San Leandro, CA, USA",Real time Google Earth for agriculture -- imagery collected weekly…,Inactive,"drones,agriculture",11,http://terravion.com
"Lona Alia,Janete Perez",W14,2013,"Consumer,Apparel and Cosmetics",0,New York,,Style Lend is a marketplace for luxury fashion rentals. Members can monetize their closets by listing their items directly on the iOS app or the website. And other members can rent them directly for a 7 day period. ,Style Lend,"New York, NY, USA",Marketplace for Luxury Fashion Rentals. ,Inactive,marketplace,2,http://StyleLend.com
"Mike Palmer,Brian Goler",W14,,"B2B,Finance and Accounting",0,Palo Alto,,"Unicorn.ly is an angel investing platform to help angels collaborate to source, evaluate, mentor, and invest in the most promising startups.",Unicornly,"Palo Alto, CA, USA",Unicorn.ly makes fundraising more efficient for both angel investors…,Inactive,"fintech,investing",2,https://unicorn.ly
"Jennifer Bronzo,Brian Krejcarek",W14,,"Consumer,Consumer Electronics",0,San Francisco,,ZowPow is a Wireless toy game controllers for mobile games.,ZowPow,"San Francisco, CA, USA",Wireless toy game controllers for mobile games.,Inactive,gaming,2,http://zowpow.com
"Severin Smith,Will Walmsley",W14,2014,"Consumer,Social",0,"Toronto, Canada",https://bookface-images.s3.amazonaws.com/small_logos/3cc04b8a638bb1593e2663d97582844316a033cb.png,Whirlscape high-tech startup with roots in human-computer interaction (HCI) and advanced machine learning/computational linguistics.,Whirlscape,"Toronto, ON, Canada",Mobile keyboards + emoji + deep learning. We make Dango. We also made…,Inactive,,3,http://getdango.com
"Maksim Ioffe,Jonathon Kresner,Igor Lebovic",W14,,"B2B,Engineering, Product and Design",0,San Francisco,,"Develop Better Software, Faster!

AirPair is an extensive network of experts with deep knowledge across many technology stacks and solutions. AirPair accelerates software development by ""pairing” experts with your engineers in real-time via video and screen sharing, leading to better teams and better software that’s produced faster, and at lower costs.  

To find an expert, visit => www.airpair.com/find-an-expert",AirPair,"San Francisco, CA, USA",Instant access to the world's best software experts via video chat…,Inactive,remote-work,2,http://airpair.com
"Ted Power,Joshua Halickman,Omar Qari",W14,2014,"B2B,Finance and Accounting",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/ea7226636e49fe4dde4372e69139e8b1c7429ecd.png,"Abacus is the only real-time expense management solution to reimburse your team, reconcile corporate cards, and automate your expense policy. By eliminating the month-end expense report, Abacus turns submitting and approving expenses into a delightful, collaborative experience. With our mobile app, you'll quickly submit and approve expenses on the go and reimbursements now happen within days. Abacus syncs with your accounting software and auto-matches transactions for hassle-free bookkeeping.

Come work with us!  We're hiring: abacus.com/about#hiring",Abacus,"New York, NY, USA",Making expense reports obsolete,Acquired,"fintech,saas,payments,b2b",30,http://abacus.com
Ryan Rowe,W14,,"B2B,Engineering, Product and Design",0,San Francisco,,"Kimono Labs lets people turn websites into structured APIs from their browsers in seconds.
We are based in San Francisco, California and graduated from the Y Combinator startup accelerator. Our main product, a bookmarklet or chrome extension, enables users to scrape and crawl websites without any programming required.",Kimono Labs,"San Francisco, CA, USA",Create APIs where they don't exist. With kimono you can quickly…,Acquired,apis,11,http://kimonolabs.com
Karl White,W14,,"B2B,Retail",0,San Francisco,,"Eventjoy is a mobile-first ticketing company that is redefining how people organize and experience events. Organizers all around the world use Eventjoy to plan everything from conferences to happy hours. They're building technology to make event organizing a breeze, with a focus on mobile to enhance the event day experience.",Eventjoy,"San Francisco, CA, USA","Fee-free ticketing, optimized for mobile.",Acquired,ticketing,2,http://eventjoy.com
"Dmitri Cherniak,adrian sanders",W14,2016,"B2B,Finance and Accounting",0,"Oakland, CA",https://bookface-images.s3.amazonaws.com/small_logos/d854b9187c55d7cd329f7ac3f47400db9cf48138.png,"Fight chargeback fraud. Save time and money.

Chargebacks are tedious to rebut yet costly to ignore. Revenue lost from chargebacks can be won back, but the dispute process is time-consuming and inefficient. With one simple integration, Chargehound automates your entire dispute process. You can respond to all your chargebacks — instantly.

Let us do the work — as soon as you receive a dispute, Chargehound will create and submit a comprehensive, customized response on your behalf. Instead of spending hours compiling disputes, you can focus on more impactful goals, like minimizing your chargebacks and maximizing your win rate. 

Get started for free by making an account at www.Chargehound.com!",Chargehound,"Oakland, CA, USA",Automate your chargeback dispute process. ,Acquired,"finops,fintech",13,https://www.chargehound.com
"Radu Spineanu,Razvan Roman",W14,,"B2B,Retail",0,San Francisco,,"Two Tap is the first e-commerce gateway built to make online shopping experiences seamless across the entire web. 

Its robust platform, which incorporates a set of intelligence tools, eliminates the friction caused by today’s multi-channel path to purchase. 

With Two Tap, shoppers can order products from retailers, directly inside apps and across all devices and operating systems without lengthy checkout processes. 

For publishers and mobile app developers, Two Tap offers a single API that sets new reliability standards with a guarantee to never lose an order. 

Founded in 2012 with headquarters in San Francisco, Two Tap is a Y Combinator company backed by Khosla Ventures, Green Visor Capital, Initialized Capital, SV Angel, Digital Garage and Transmedia Capital. 

For more information, please visit  https://twotap.com/ and follow @TwoTapBuy.",Two Tap,"San Francisco, CA, USA",Two Tap connects retailers to companies that want to sell their…,Acquired,"e-commerce,retail",11,http://twotap.com
"Selcuk Atli,Alex Chang",W14,,"B2B,Marketing",0,San Francisco,,"Boostable makes advertising easy for sellers and brands on marketplaces. We grow marketplaces by helping their sellers advertise their listings and gather insights. Boostable is a YCombinator company based in San Francisco and funded by SVAngel, 500 Startups and others.",Boostable,"San Francisco, CA, USA",Advertising platform tools for marketplace sellers. ,Acquired,"marketplace,advertising",11,http://boostable.com
Alexei Chemenda,W14,,"B2B,Marketing",0,"Paris, France",,"Motionlead empowers advertisers and publishers to reach their audience through a unique advertising experience thanks to transparent, animated and interactive ads that come on top of native and web apps without stopping user navigation",Motionlead,"Paris, Île-de-France, France",Animated mobile ads.,Acquired,,11,http://motionlead.com
"Ted Tomlinson,Gordon Wintrob",W14,,"B2B,Sales",0,San Francisco,,"StackLead automatically analyzes sales leads. 

Starting with only an email address, we pull together all the research a sales rep needs to understand a lead and their business. With this information, sales teams close more deals because they can effectively tailor their messaging and they don't have to spend time manually researching every new lead.

You can access StackLead research wherever you need it. If you already have an internal email when a user signs up, you can forward it to StackLead and we'll reply with a complete research report. We also provide a Salesforce integration (stacklead.com/blog/qualifying-leads-in-salesforce-with-stacklead/) and webhooks API (stacklead.com/docs).

Get started at stacklead.com or contact us at team@stacklead.com",StackLead,"San Francisco, CA, USA",Lead intelligence as a service. We want to be your personal lead…,Acquired,sales-enablement,2,http://stacklead.com
Haomiao Huang,W14,,"Consumer,Consumer Electronics",0,,,"Stop break-ins before they happen. Kuna is the first effective break-in prevention solution for home security. Kuna is a smart Wi-Fi camera and video intercom built into an elegant outdoor light. It detects people at your door and lets you see and interact with them through your smartphone. Think of it as a digital doorman. And the best part, it's super easy to install. No need to run power wires or drill holes. Just replace your old light fixture.

Check us out at www.getkuna.com, spread the word and help us bring Kuna to the world. Thanks.",Kuna Systems,"Burlingame, CA, USA","We're making a smart, front door camera with intercom that lets you…",Acquired,"smart-home-assistants,iot",11,http://getkuna.com
Ian Roncoroni,W14,,"B2B,Sales",0,New York,,"We create a positive customer experience through real time call verification technology.

Fraudsters cost businesses time and money, and make life more difficult on real customers - whether that’s outright stealing cash or slowing down the phone call authentication process. Next Caller helps businesses fight criminals, not customers, by safely passing through legitimate callers and identifying suspicious interactions. Using VeriCall™, businesses have the opportunity to stop phone fraud before it starts.  With our real-time RESTful API, Next Caller verifies good callers and detects spoofed calls to make your business Spoof Proof™ - flagging high-risk calls within milliseconds of the first ring.  Based on this threat-level analysis of every call, a business can decide how to handle the customer or criminal on the other end of the line.",Next Caller,"New York, NY, USA",Next Caller creates a positive customer experience through real-time…,Acquired,,20,http://nextcaller.com
"Indraneel Mukherjee,Michael Murray",W14,,"B2B,Marketing",0,San Francisco,,"LiftIgniter uses cutting edge data science to help publishers and retailers optimize their websites and mobile apps in real-time. Machine learning personalization puts the perfect piece of ""content""​ (video, article, item to buy) in front the user at the exact moment when they are most likely to engage or convert - no tags or manual work required. 

The machine learns and updates itself so that's it's always perfectly in sync with your users and your ""content.""​ We average 50% improvements in CTR, engagement and conversation - with only a day's work on your part. Imagine creating a truly dynamic, real-time digital property that enables the perfect experience for that user impression at that moment in time. That is LiftIgniter! 

Our team of PhDs has direct experience building state-of-the-art personalization systems at the petabyte scale for some of the largest companies on the planet. Unless you plan on hiring your own team with deep experience (not likely since very few people with that experience exist), you should contact us to talk about how we can supercharge your digital experiences.",Liftigniter,"San Francisco, CA, USA",Machine Learning personalization for dynamic digital properties -…,Acquired,"machine-learning,personalization",11,http://liftigniter.com/
Derek Nelson,W14,,"B2B,Infrastructure",0,"Los Angeles, CA",,"PipelineDB is an open-source PostgreSQL extension that enables realtime reporting use cases by continuously aggregating large streams of time series data down into summary data. It shines the most at larger scales, where storing lots of raw time-series data and aggregating it over and over again becomes inefficient. The amount of value that PipelineDB adds is directly proportional to the amount of continuous aggregation that an analytics use case can benefit from. PipelineDB should be used for analytics use cases that only require summary data, like realtime reporting dashboards. PipelineDB is not a good fit for exploratory analytics on siloed datasets.
",PipelineDB,"Los Angeles, CA, USA",Open-source time-series data analytics extension for PostgreSQL,Acquired,"open-source,time-series",2,http://www.pipelinedb.com
"Gautam Jayaraman,Divya Bhat",W14,,"B2B,Supply Chain and Logistics",0,San Francisco,,"Rickshaw is a local delivery platform that partners with courier companies and delivers several goods, including laundry, gifts, office snacks, and meal subscriptions. It uses algorithms and mobile apps to dispatch, route, and track customer locations. The service is available from Monday to Friday from 7.00 a.m. to 10.00 p.m.

Rickshaw was launched by Divya Bhat and Gautam Jayaraman.",Rickshaw,"San Francisco, CA, USA","Same day local delivery, via API. Currently operating in SF.",Acquired,"delivery,logistics,api",11,http://gorickshaw.com
Daniel Ruch,W14,,"B2B,Finance and Accounting",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/68f0dc07afa30d8d9567bca45465b77295c80321.png,"Rocketrip cuts a company’s travel costs by incentivizing employees to spend less on their trips. When employees get to keep a portion of the savings they generate, they start to treat the company’s money like it’s their own. 

Rocketrip’s software combines real-time travel prices, company policy, and a suite of patented algorithms to set customized budgets and predict what a trip should cost. Business travelers beat their budgets by making cost-conscious choices like booking in advance, selecting a cheaper hotel, or staying with friends. The company saves money, and the employee earns actual rewards. 

Rocketrip provides comprehensive reporting and seamlessly integrates into any existing corporate and expense technology stack. If you want to rein in business travel costs while improving corporate culture, visit rocketrip.com",Rocketrip,"New York, NY, USA",Rocketrip helps companies save money on travel expenses by aligning…,Acquired,"fintech,travel,enterprise-software",68,http://rocketrip.com
"David Mack,Chris Finneral",W14,2014,"B2B,Productivity",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/edd480d76c88913d52db5c536fac9c346f44ad91.png,"SketchDeck is your always ready design team. We give you 24/7 access to high quality, on brand design for all your marketing, sales and communication needs. We're built for the quality, scale and speed modern teams demand.",SketchDeck,"San Francisco, CA, USA",Operating system for creative agencies,Acquired,,20,https://sketchdeck.com
"Laurent Landowski,Willy Blandin,Alexandre Lebrun",W14,,"B2B,Engineering, Product and Design",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/9a24800a3244c11aac600b6958821d920becd8ea.png,"Natural Language for the Internet of Things.

Wit.ai is an API that makes it easy for developers to build applications and devices that you can talk to. Any app, any device can use Wit.ai to take natural language input (speech or text message) from users and turn it into a command.

Wit.ai is a Y Combinator company based in Palo Alto, and funded by Andreessen Horowitz.",Wit.ai,"Palo Alto, CA, USA",Natural Language for Developers --Wit is an API that makes it easy…,Acquired,"developer-tools,nlp,apis",11,http://wit.ai
Dave Jackson,W14,,"B2B,Engineering, Product and Design",0,San Francisco,,"Avametric is a privately-held AR and simulation company working to revolutionize the fashion and retail industries. We were founded in 2012 and centrally located in the thriving San Francisco neighborhood of SOMA. Our software platform provides automated content creation for brands, retail & e-commerce sales tools, and increased efficiency in garment design & development. By working on both enterprise-facing tools for design and consumer-facing tools for virtual fitting rooms, we are excited to transform visualization experiences in fashion and bring traditionally physical experiences to the virtual space. 

We are proudly backed and supported by our lead investors at Khosla Ventures and, together, we look forward to changing the way people shop and design clothing globally.

Sound like you? Find your fit at our careers page: https://www.avametric.com/careers/",Avametric,"San Francisco, CA, USA",Simulate clothes on your body.,Acquired,"augmented-reality,e-commerce,fashion",11,http://www.Avametric.com
Ooshma Garg,W14,,"Consumer,Food and Beverage",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/d83ffc3a3b58e3ab63784be7fab2da2b2219c1b1.png,"Gobble prepares farm fresh 10-minute gourmet dinner kits with 3-step instructions delivered to your door. Our weekly delivery includes three thoughtfully hand-crafted dinner kits filled with fresh pre-chopped and par-cooked ingredients (along with a gorgeous recipe card!) for you to create Michelin-worthy dinners in your very own kitchen.

Gobble offers the convenience associated with takeout along with the health, satisfaction, and freshness of a home-cooked meal. With Michael Mina protege, Thomas Ricci, as our Executive Chef, we're engineering our best recipes into one pan dinner kits so anyone can cook and make a gourmet meal with 1 pan in under 10 minutes.",Gobble,"Palo Alto, CA, USA","Daily meal delivery, personalized to your tastes.",Acquired,subscriptions,73,http://gobble.com
