active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Logan Head,Grant LaFontaine",W20,2019,Consumer,10,"Los Angeles, CA",https://bookface-images.s3.amazonaws.com/small_logos/8cc4364cbc36079057551f98544d5fb6be675455.png,"Whatnot is the largest livestream shopping platform in the U.S., connecting buyers and sellers in real-time across any category – from collectibles like trading cards to comics, fashion, sneakers, and more. ",Whatnot,"Los Angeles, CA, USA",Whatnot is the largest livestream shopping platform in the U.S.,Active,"marketplace,e-commerce",400,https://www.whatnot.com
"Dan Lin-Arlow,Sebastian Palluk",W20,2018,"Healthcare,Industrial Bio",0,"Emeryville, CA",https://bookface-images.s3.amazonaws.com/small_logos/2b2832322fabbb9e5f2c1715ec5ca0ffdcf53f34.png,"Ansa Biotechnologies is developing a new way to make DNA that will be faster, cleaner, and more accurate than existing methods. Currently, DNA is manufactured via a chemical method that has remained mostly unchanged for 35 years. Our enzyme-based approach promises to dramatically accelerate innovation in biological research and biotechnology, including therapeutics, diagnostics and biomanufacturing.",Ansa Biotechnologies,"Emeryville, CA, USA",Next-generation DNA synthesis using enzymes,Active,"synthetic-biology,biotech",72,http://ansabio.com
Quin Wills,W20,2019,"Healthcare,Therapeutics",0,"Oxford, United Kingdom",https://bookface-images.s3.amazonaws.com/small_logos/d80993cda53fffe2cfd91762d630c27dc21561bf.png,Ochre Bio is a biotechnology company developing RNA medicines for chronic liver diseases.,Ochre Bio,"Oxford, England, United Kingdom",RNA medicines for liver diseases,Active,biotech,50,https://www.ochre-bio.com/
"Noureddine Tayebi,el mahdi Yettou",W20,,"Consumer,Transportation Services",2,Algeria,https://bookface-images.s3.amazonaws.com/small_logos/73bd927e75c509d21699165f6d43ad2c3f5acf76.png,"Yassir is the leading super App in the Maghreb region set to change the way daily services are provided. We currently operate in 45 cities across Algeria, Morocco, and Tunisia with recent expansions into France, Canada, and Sub-Saharan Africa, with backing (~$200M in funding) from VCs from Silicon Valley, Europe, and other parts of the world.

We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era.

We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.",Yassir,Algeria,Yassir is the leading Super App for French Speaking Africa,Active,,200,https://yassir.com
"Denis Kildishev,Anton Svetlov",W20,2019,"B2B,Engineering, Product and Design",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/36f3d929390edbb2302940824ff50512f48f5516.png,"Jet Admin - an app builder designed specifically for creating internal tools, admin panels, external portals, inventory apps, and other business applications really fast and without coding. 

In Jet Admin, you can assemble multi-page apps with complex user flows, connected to multiple data sources. Setting up custom layouts, adding custom actions and workflows, binding and transforming dynamic values, using conditional rules and validations - all is done through a drag & drop and point & click visual builder.

We’ve also added a variety of developer tools, so whenever necessary, you can create custom SQL and HTTP queries, write JavaScript, create multiple environments, code, and embed custom UI components.",Jet Admin,"San Francisco, CA, USA",No-code business app builder,Active,"developer-tools,saas,b2b",8,https://jetadmin.io
"Jeffrey Liu,Justin Louie",W20,2019,"Fintech,Credit and Lending",0,"Singapore, Singapore",https://bookface-images.s3.amazonaws.com/small_logos/2db4dddea02151de0da490cfe73ef39915dc72cf.png,"We back growing digital businesses using revenue based financing.

Many of growing businesses in Asia are highly ""bankable"" yet 50-70% are unable to obtain capital to grow their business.

Having been business owners ourselves, we experienced firsthand the struggles of funding a business - from expensive equity options to loans that required personal guarantees.

We went live in Singapore first to validate the product/market fit. We plan to expand across the APAC region..

Our sweet spot is backing repeatable business spend - expenses that leads to increased revenue. Our financing product allows businesses to keep growing with us over time. Over a third of our advances today are from repeat borrowers.

We created a brand new asset class in Asia - offering flexible repayment options, such as tieing repayment with sales. Business owners LOVE this.

Our automated financial technology platform ingests revenue and alternative data sources that gives us a proprietary edge in understanding the behavior of our borrowers. As we collect continuous data, we are able to offer better financial and technology solutions, while mitigating our downside risk.

Funds are seamlessly deployed via our virtual Jenfi Wallet and MasterCard solution, giving borrowers flexibility to make payments while giving Jenfi real-time tracking of their spend.

Recent coverage: 
https://techcrunch.com/2020/02/03/jenfi-wants-to-solve-small-business-lending-in-southeast-asia/",Jenfi,"Singapore, Singapore",Jenfi provides revenue-based financing for digital businesses in Asia ,Active,"banking-as-a-service,fintech",18,http://jenfi.com/
Aleksei Beliankin-Bauer,W20,,"Consumer,Gaming",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/d52139d69bb434e6d76a4140915a34125b981220.png,"LegionFarm lets gamers pay to play with professional players, helping customers have more fun playing, learn to be a better gamer, and conquer difficult parts of video games.

Legionfarm Pros want to monetize their skills by turning their hobbies into real careers. They are the top 1% of players. They have a massive impact on the success of gaming companies - and we want to allow these top players to hold their dream jobs in virtual worlds.

Over the past year, Legionfarm organized over 400,000 gaming sessions with our 7,000 Pros.

Legionfarm provides access to unique entertainment on a global scale while creating new jobs in virtual worlds at the same time",Legionfarm,"San Francisco, CA, USA",We connect gamers with training and assistance from Pro players,Active,"gaming,esports",75,https://legionfarm.com/
"Oriol Tintore,Pablo Viguera",W20,2019,"Fintech,Banking and Exchange",0,"São Paulo, Brazil",https://bookface-images.s3.amazonaws.com/small_logos/8a630e8e8c65d44c6d85d84dfe4c115d9c8671c2.png,"We are Belvo, a financial API platform for Latam that enables any company or developer to access and interpret their end-users' financial information, through one easy-to-use API. Think Plaid for Latam.

Our vision is to power the next generation of financial services in Latam by enabling more inclusive, efficient and empowering offerings through tech and data. Latam is a very exciting and dynamic place to be right now and a great place to build infrastructure for the next generation of financial products for a huge market.",Belvo,"São Paulo, SP, Brazil",Open Finance API platform for Latam.,Active,fintech,150,https://belvo.com
"Tamas Gorbe,Hans Melo",W20,,"Healthcare,Drug Discovery and Delivery",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/43efdb0c86614e744393f6e6d327d93e3d19486e.png,"Menten AI designs protein drugs and enzymes using quantum computing and machine learning. Their technology leapfrogs current computational methods making it possible to design previously intractable proteins. The team created the first protein design algorithm for current and near-term quantum computers and created the world’s first protein designed on a quantum computer. They are now working on 3 new proteins, including a peptide to prevent the spread of viruses like Covid-19. They have 2 paid pilot projects with multinational chemical companies and 4 LOI’s with pharma and biotech companies.",Menten AI,"San Francisco, CA, USA",Menten AI designs peptide and protein therapeutics using quantum…,Active,"ai-powered-drug-discovery,quantum-computing",2,http://menten.ai
"Liliya Khasin,Yuriy Kirichok,Jonah Sinick",W20,,"Healthcare,Therapeutics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/2c3115ee7654ff0be36a7d764f8dd7f98b178d2e.png,"We are developing a drug to increase metabolism and burn calories without exercise.

Obesity and type 2 diabetes have reached epidemic proportions. There are 2.2B overweight people and 500M people with type 2 diabetes worldwide, and these numbers increase drastically every year. Existing drugs are not effective enough to reverse the trend. Our drug can solve this problem, because it addresses the root cause of metabolic disorders – the imbalance between caloric intake and expenditure.

Our drug will target mitochondria – the powerhouse of the cell – to generate heat. This approach has been proven to fully reverse obesity and type 2 diabetes in animals. However, therapeutic application for humans was impossible, because mitochondrial heat production could only be induced by highly artificial methods with side effects. This changed after our recent breakthrough discovery of the protein that mitochondria naturally use to generate heat. We have developed a unique high-throughput drug discovery platform to identify compounds that selectively activate this target protein, without side effects.

For decades people have wanted a drug that burns calories like exercise does. We are realizing this dream at Equator Therapeutics.",Equator Therapeutics,"San Francisco, CA, USA",We are developing a drug to burn calories and increase metabolism…,Active,"biotech,therapeutics",2,https://equatortherapeutics.com/
"Craig Cannon,Patrick Piemonte",W20,2019,"Consumer,Content",0,,https://bookface-images.s3.amazonaws.com/small_logos/8d1427981c63e006f68b9d667257318df7d6cc7b.png,,Nugget,,,Inactive,,2,https://
"Brian Leung,Danielle Sobel",W20,2019,"Consumer,Food and Beverage",0,"Los Angeles, CA",https://bookface-images.s3.amazonaws.com/small_logos/42d9a4e7cc728115fa7343bdae0ca04817047382.png,,Hideout,"Los Angeles, CA, USA",A portfolio of delivery-only restaurant brands,Inactive,ghost-kitchens,1,http://findhideout.com
