active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Shola Akinlade,Ezra Olubi",W16,,"Fintech,Payments",0,"Lagos, Nigeria",https://bookface-images.s3.amazonaws.com/small_logos/8f4d18618abc91ad79be53d918a199daffad6f58.png,"Paystack is a small and vibrant family working across Lagos and San Francisco.

We enable businesses to accept payments via credit card, debit card, money transfer, and mobile money, directly from their website or mobile app.",Paystack,"Lagos, LA, Nigeria",Modern payments infrastructure for Africa,Acquired,,115,https://www.paystack.com
Edvard Engesaeth,W16,2015,"Healthcare,Consumer Health and Wellness",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/e30eef55b4ffb18884d227d20476b264b3388dd6.png,"Nurx is a telemedicine startup focused on increasing access to healthcare, starting with birth control and PrEP services.",NURX,"New York, NY, USA","Medicine or testing kit, prescribed online and delivered to your door.",Acquired,consumer-health-services,300,https://www.nurx.com/
"Alex Rodrigues,Brandon Moak,Michael Skupien",W16,2016,"Industrials,Automotive",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/7f54038f84e639bce5c45d1756018b94f17f6125.png,"Embark Technology develops self-driving truck software. 

Embark was the first self-driving truck company to achieve an autonomous coast-to-coast drive, the first to reach 100,000 miles driven on public roads, and the first to open a network of transfer points.

Embark went public on NASDAQ in 2021 and was acquired by Applied Intuition in 2023.",Embark Trucks,"San Francisco, CA, USA",Self-driving semi trucks.,Public,autonomous-trucking,300,http://embarktrucks.com
"Ahmed Beshry,Lindon Gao,Yilin Huang",W16,,"B2B,Retail",0,,https://bookface-images.s3.amazonaws.com/small_logos/45034c22d81491a4e49c2c46c3c822d2d820941d.png,"Caper focuses on compacting Amazon-Go's technology (image recognition, sensor fusion and artificial intelligence) into a smart shopping cart, allowing each shopper to throw her groceries into the cart and self-checkout without cashiers. The technology is looking to fundamentally transform physical retail and rapidly scale into existing grocery stores.",Caper,,Plug-and-play cashier-less retail powered by computer vision and AI,Acquired,"artificial-intelligence,cashierless-checkout,computer-vision",15,https://www.caper.ai/
"Haroon Mokhtarzada,Yahya Mokhtarzada,Idris Mokhtarzada",W16,2015,"Fintech,Consumer Finance",0,"Silver Spring, MD",https://bookface-images.s3.amazonaws.com/small_logos/fae52e07d79df342dcfc28d120038d2083ae0679.png,"Rocket Money (formerly Truebill) is a leading personal finance app that analyzes members' spending habits, identifies inefficiencies, and offers immediate methods to improve their financial health. It enables people to optimize their spending, manage subscriptions, lower their bills, and automatically set aside money to reach their savings goals. Truebill has saved members more than $100 million since 2016 and is headquartered in Silver Spring, Maryland, with offices in San Francisco. 

Truebill's mission is to empower people to live their best financial lives. Truebill offers members a unique understanding of their finances and a suite of valuable services that save them time and money - ultimately giving them a leg up on their financial journey. 

Truebill is backed by Accel, Bessemer Venture Partners, Eldridge Industries, and YCombinator.",Truebill,"Silver Spring, MD, USA",Live your best financial life,Acquired,,225,https://www.truebill.com
"Ben Thompson,Travis Kimmel",W16,2014,"B2B,Engineering, Product and Design",0,"Durango, CO",https://bookface-images.s3.amazonaws.com/small_logos/b2d3dd198bca90e8788c0aefde72b644504fe75e.png,Acquired by Pluralsight in May 2019,GitPrime,"Durango, CO, USA",Visibility and analytics for software development leaders.,Acquired,"developer-tools,saas",110,https://www.gitprime.com
"Dennis Steele,Eric Rea",W16,2014,"B2B,Retail",0,"Lehi, UT",https://bookface-images.s3.amazonaws.com/small_logos/d90bc164db5dd25a81e6dcfa222470eadf2c783a.png,"Podium is the all-in-one AI-powered lead management and communication platform used by more than 100,000 businesses to acquire and convert new customers. At the forefront of Podium’s innovation is its AI employee, who ensures businesses respond to leads instantly, anytime of the day or night—significantly increasing lead conversion rates and revenue.
Podium helps businesses obtain more reviews, rank higher on Google, and consolidate lead channels. Businesses can call and text customers from the web and/or mobile app, send payment links, drive repeat business through bulk messages, and more—all managed and delivered from one easy-to-use dashboard. Additionally, with Podium’s AI Employee and automations, businesses can efficiently handle customer inquiries seamlessly across all communication channels, providing timely and accurate responses that drive sales.
Podium’s innovative work has gained recognition on top industry lists, such as Forbes’ Next Billion Dollar Startups, Forbes’ Cloud 100, the Inc. 5000, and Fast Company’s World’s Most Innovative Companies.
Podium was founded in 2014 and is headquartered in Lehi, Utah. It is currently backed by Accel, Summit Partners, GV (formerly Google Ventures), and Y Combinator.",Podium,"Lehi, UT, USA",Get more leads. Make more money. ,Active,"fintech,saas,b2b",1000,https://podium.com
"Michael Cantalino,Francois Chaubard",W16,2016,"B2B,Retail",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/e25ba04ae8686807d958c48f1372502741b4b2e3.png,"Focal Systems is on a mission to lower the cost of living for all mankind by automating and optimizing Brick and Mortar Retail with the latest advancements in AI. Focal Systems is the industry leader in retail automation solutions. By digitizing store shelves hourly and unleashing FocalOS, retailers unlock huge operational efficiencies, optimized merchandising, and streamlined supply chains which deliver impactful financial results. Focal is transforming retail by empowering store management to make automated, data-driven decisions. We are the operating system of retail.",Focal Systems,"New York, NY, USA",Building the Operating System for B&M Retail using Deep Learning,Active,"deep-learning,grocery,computer-vision",170,http://www.focal.systems
"James Cundle,Tom Hadfield",W16,2015,"B2B,Engineering, Product and Design",0,"Austin, TX",https://bookface-images.s3.amazonaws.com/small_logos/d2e2140644182cb7ec4a70381a94543d8c8de82a.png,"Mio powers seamless communication between Slack, Microsoft Teams & Webex Teams. The Austin, Texas-based company was founded by Tom Hadfield and James Cundle in November 2015. M.io has raised $12m from investors including Goldcrest Capital, Eniac Ventures, Two Sigma Ventures, Khosla Ventures, Y Combinator and Capital Factory. Ready to sync your teams? Learn more and get started at https://m.io/",Mio,"Austin, TX, USA",Mio powers seamless communication between workplace chat apps.,Active,"saas,messaging,team-collaboration",12,http://m.io
"Sebastian Mejia,Simon Borrero,Felipe Villamarin",W16,2015,"Consumer,Food and Beverage",0,"Bogotá, Colombia",https://bookface-images.s3.amazonaws.com/small_logos/44285cf605c3f1d288f2fb7c2f002f859ab92d0b.png,"Rappi is a mega high growth, Series B, consumer tech StartUp looking to be the everything store of Latin America. We are a marketplace that connects users who want to purchase prepared foods, groceries, clothes, and more with contractors who fulfil them. Think of Rappi as a Doordarsh meets Delivery meets Instacart. We are venture backed by top VCs in the world including Sequoia, DST, Andreessen Horrowitz and YCombinator. Management consultant skills are highly valued and one of the founders and three of the company's top leaders are former top tier management consultants. We are across Argentina, Brasil, Mexico, Colombia and are aggressively growing in these markets and all throughout LatAm.",Rappi,"Bogotá, Bogota, Colombia",On-demand delivery and financial services for Latin America.,Active,"fintech,delivery",4800,http://www.rappi.com
