active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
Matin Movassate,W13,2013,"B2B,Analytics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/0be58a0e5449236d7f3e0dbb741e2aadde9e2881.png,Heap automates away the annoying parts of user analytics. No manual event tracking. No messy tracking plans. No custom ETL pipelines. Just insights. For everyone on your team.,Heap,"San Francisco, CA, USA",Captures user interactions with no code to generate analytics.,Acquired,"saas,analytics",388,https://heap.io/
Laks Srini,W13,,"B2B,Human Resources",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/73b18a9d2bccc67389f1f2004f80ff39d7f3f27e.png,"Zenefits was founded to take the administrative heartache out of getting healthcare. In the five years since, Zenefits'​ consumer-grade technology has tackled one of the economy's gnarliest people problems: delivering easy access to health insurance. 

Today, this is the foundation of our People Platform which brings everything HR -- benefits, payroll, onboarding and talent management -- into one single app. 

And we're just getting started. Our team is creating a modern People Platform that empowers employees by equipping them with the tools they need to be independent, mobile, and fully in control. 

The Zenefits People Platform is where HR comes to life. Learn more at www.zenefits.com",Zenefits,"San Francisco, CA, USA","HR for small businesses: onboarding, payroll and benefits.",Acquired,hr-tech,500,http://zenefits.com
"Taylor Brown,George Fraser",W13,2012,"B2B,Infrastructure",0,"Oakland, CA",https://bookface-images.s3.amazonaws.com/small_logos/d6b5710a13038fe1daa1421a986e1f4a7839a65a.png,"Fivetran automates data movement out of, into and across cloud data platforms. We automate the most time-consuming parts of the ELT process from extracts to schema drift handling to transformations, so data engineers can focus on higher-impact projects with total pipeline peace of mind. With 99.9% uptime and self-healing pipelines, Fivetran enables hundreds of leading brands across the globe, including Autodesk, Conagra Brands, JetBlue, Lionsgate, Morgan Stanley, and Ziff Davis, to accelerate data-driven decisions and drive business growth. Fivetran is headquartered in Oakland, California, with offices around the world. ",Fivetran,"Oakland, CA, USA",The leader in automated data movement,Active,"saas,b2b,analytics,data-engineering",1200,http://fivetran.com
"Chase Adam,Grace Garey",W13,2011,Healthcare,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/032dd510315da8e9725ccf64425c7a8d798fd100.png,We’re building technology to finance universal healthcare by crowdfunding surgeries and providing coverage for primary care.,Watsi,"San Francisco, CA, USA",Watsi is the first global crowdfunding platform for medical…,Active,"crowdfunding,healthcare",11,https://watsi.org
"Stephen Lake,Matthew Bailey,Aaron Grant",W13,,"Consumer,Virtual and Augmented Reality",0,"Kitchener, Canada",https://bookface-images.s3.amazonaws.com/small_logos/e598d38b27ed1203b3e155824bb2a55c1ba65e32.png,"Thalmic Labs is pioneering new ways of interacting with digital devices. With a mission to merge people and technology, the company is revolutionizing how we will interact with technology in the future. Its first product, the Myo™ armband, measures electrical activity in muscles to wirelessly control computers, phones and other digital technologies, resulting in seamless interaction between humans and devices.

Founded in 2012 by three graduates of the University of Waterloo's mechatronics engineering program (Stephen Lake, Matthew Bailey, Aaron Grant), Thalmic Labs has grown to a world-leading team of engineers, researchers, and creators committed to building the future of wearable technology. Thalmic Labs has raised over $140M USD to date from investors including Spark Capital, Intel Capital, Y Combinator, and others.",North,"Kitchener, ON, Canada",Wearable computing hardware: biosignal gesture recognition,Acquired,hardware,51,https://www.bynorth.com
"Joe Ariel,Joel Gillman,Trevor Stow,Vanessa Torrivilla",W13,2013,"Consumer,Food and Beverage",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/cca9f25bb14498b6d14a86b02534da1a12502e50.png,"Goldbelly is an online platform for specialty food makers and artisans. We discover America's most unique handmade foods and ship them to your door, anywhere nationwide.",Goldbelly,"New York, NY, USA",Empowering restaurants and small food makers to ship nationwide.,Active,"marketplace,e-commerce",125,https://www.goldbelly.com/
Michelle Crosby,W13,,"Consumer,Home and Personal",0,"Bothell, WA",,"Wevorce is fixing divorce by ensuring kids come first, costs stay affordable, and the transition is appropriately paced, so that couples can focus on parenting, not fighting. 

For families, the Wevorce experience stands in stark contrast to the traditional adversarial approach. Instead of each spouse ""lawyering up,""​ Wevorce brings them together to work with a specially-trained attorney-mediator who guides the couple through a defined, but fully customized, settlement process. Additional experts in finance and parenting are brought in as needed to ensure the settlement g... See More",Wevorce,"Bothell, WA, USA",Changing divorce for good by making it a way less horrible experience…,Active,,11,http://wevorce.com
Denny Luan,W13,2012,"Healthcare,Healthcare Services",0,"Honolulu, HI",https://bookface-images.s3.amazonaws.com/small_logos/e0f7813d1a9c4de9bd2a7b0b88eaa3447db60df4.png,"Today's funders are so conservative they only fund the most obvious ideas. At Experiment, we fund the ideas that they won't fund; the ideas that matter.

Since founding, over 47,000 citizens have pledged $9 million dollars supporting 900 scientific projects on the platform. 46% of all projects on Experiment are successfully funded. When the projects are finished, the scientists share the scientific results with their backers as lab notes and peer-reviewed publications.

Scientists from Stanford, Harvard, and Yale have chosen to use Experiment instead of writing grants. Bill Gates recognized Experiment by saying ""this solution helps close the gap for potentially-promising but unfunded projects.""",Experiment,"Honolulu, HI, USA",crowdfunding platform for science,Active,marketplace,1,http://experiment.com
Vivek Shah,W13,2012,"Healthcare,Healthcare Services",5,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/abf7da0c7c74c34ef88b12b8b2f38161aac9adcb.png,"SimplyInsured was founded with one mission: to eliminate fear from health insurance. By changing the way small business owners purchase health insurance with our 100% online platform, we’re transforming a $20 billion dollar industry and delighting thousands of customers. 

Our unique values-based culture (and extremely talented team) is our core competitive advantage, and each person on our team makes a direct, immediate impact on our business. 

We value transparency, feedback, bias to action, growth, and an obligation to dissent. Every opinion is respected, we hold each other to extremely high standards, we’re driven by the diversity in our backgrounds, and unified by 100% alignment on our mission. 

What’s best for the customer is the heart of everything we do, and our customer stories prove it: by changing health insurance we’re literally saving lives. 

Based in San Francisco, SimplyInsured was founded in 2012 and is back by Bessemer Venture Partners, Polaris Ventures, and Y-Combinator. If you’re up for the challenge of improving health insurance for millions of Americans, we’re just getting started, and we’re growing!",SimplyInsured,"San Francisco, CA, USA",We sell health insurance to small businesses 100% online.,Active,health-insurance,35,http://simplyinsured.com
"Nick Tommarello,Greg Belote",W13,2011,"Fintech,Asset Management",6,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/86fe89dc40132aeb8f280105ad161eb9c7281ebc.png,"We help everyone invest in startups that they care about.

We believe that when all Americans can invest in innovation, the world will be a better place. And soon, our dream will become a reality. Thanks to the JOBS Act, everyone — not just the wealthy — can invest as little as $100 in the startups they care about. Not only does this open up the pool of investors, and increase the amount of great ideas that get funded, but it allows startups to grow an army of passionate investors who truly want to see them succeed. Second tier VC’s will become obsolete as startups tap their lead users and customers for quick early investments.",Wefunder,"San Francisco, CA, USA",We're Robinhood for pre-IPO startups. Everyone can invest $100.,Active,"fintech,investing",35,http://wefunder.com
