active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
Guillaume Luccisano,W23,2023,"B2B,Operations",2,Boston,https://bookface-images.s3.amazonaws.com/small_logos/a5c69ec33755d985775fbfb96b7d715538abbd37.png,"## What is Yuma AI?

Yuma is automating customer support by providing an AI Support Agent orchestration platform. Yuma provides autonomous AI agents dedicated to customer service and e-commerce.

We integrate directly with help desk software (Zendesk, Kustomer, Gorgias, etc.) and focus on helping large Shopify merchants deal with their high volume of support requests.

Top merchants using Yuma can automate up to 60% of their support tickets fully autonomously.

## Why do Shopify merchants need Yuma?

There are thousands of large Shopify merchants around the world generating $10M+ a year. Most of them have taken over some niches and are great at what they do: selling their products.

But they all have one thing in common: they all hate customer support. It's a burden for them and a huge source of cost, as they receive hundreds of requests per day. Some of them have dozens of support agents on staff, usually offshore, and the overall quality is still often pretty poor while staff turnover remains high.

Those merchants have been promised automation for years but have always been disappointed by the outcome. As customers, we have all had to live through a terrible support automation experience before, so this is no secret, and everyone knows that the current state of the technology is quite bad.

## Yuma is solving this in a few ways:

Yuma isn't just another RAG chatbot. Our platform provides autonomous AI agents dedicated to support and ecommerce.

These agents are powered by knowledge, follow processes, and are managed by our in-house AI orchestration technology. This ensures safety, control, and quality at every step.

We believe that to truly automate customer support, we must develop a platform that mimics the actions of a human support agent. That's exactly what we've been doing.

Currently, our top merchants are automating 60% of their support tickets through Yuma. Yuma can fetch information from external services and take actions in other apps as needed to resolve each ticket.

We are laser-focused on building the best AI support agent platform and aim to achieve 80% true automation in the next few months.

## Fun Fact

Yuma got started by accident. This is my third YC startup after Socialcam (W12) and Triplebyte (S15). I released Yuma as a prototype for fun in mid-December 2022 and was overwhelmed with demo requests. That's when I knew I was onto something and had to turn this into a real company, once again.",Yuma AI,"Boston, MA, USA",The AI Support Agent for Ecommerce,Active,"artificial-intelligence,customer-support,ai-assistant",12,https://yuma.ai
Usman Gul,W23,2023,B2B,0,,https://bookface-images.s3.amazonaws.com/small_logos/d405f124083ad95be24745d98de294a71b7cf71c.png,"Metal's offers advanced intelligence and insights on venture investors, enabling founders to be super targeted in pursuing firms that are most likely to invest. For founders actively raising capital, the platform unlocks an advanced level of efficiency by showing optimal intro pathways to each investor and by offering a customisable investor CRM platform.",Metal,,Metal allows founders to be more targeted & intentional in fundraising,Active,"b2b,investing,enterprise-software,investments",14,http://www.metal.so
"Will Cao,Yang Wang",W23,2022,"Healthcare,Industrial Bio",0,Boston,https://bookface-images.s3.amazonaws.com/small_logos/fcb2bf6569db61c3592824679114d563e4d1438c.png,"Pando is an AI-driven synthetic biology company revolutionizing enzyme engineering for the pharmaceutical industry. Our ultra-high-throughput screening platform screens 1000-fold more enzymes 75% faster and 80% cheaper than traditional methods. This empowers our generative AI to efficiently optimize enzymes across multiple properties, delivering high-performing, tailored enzymes that reduce costs and enhance efficiency.",Pando Bioscience,"Boston, MA, USA",Gen-AI Designed Enzymes for Pharmaceutical Innovation,Active,"generative-ai,synthetic-biology,biotech,diagnostics",5,https://pando.bio/
"Bryant Lee,Earl Hathaway",W23,2023,"B2B,Legal",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/e8880a43b4d78bdcd9007972307a7188143b601c.png,"Vaero is AI software to help patent lawyers work 5x faster. It drafts an entire patent application with AI based on invention information. The software includes a complete platform for patent lawyers to use AI for reviewing patent applications, responding to office actions, and enhancing invention disclosures.
",Vaero,"San Francisco, CA, USA",AI for Patent Lawyers,Active,"saas,b2b,legal,legaltech",2,https://vaero.co
"Jacob Thornton,Ian Ownbey",W23,2023,"B2B,Engineering, Product and Design",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/2f9dd3a5bbb2a2b8bc7fda0243ab22453a6fff15.png,"Pierre enables engineers, designers and business team members to discuss new features before they're merged.",Pierre,"New York, NY, USA",Building a better github,Active,"ai-enhanced-learning,developer-tools,b2b,productivity,collaboration",2,https://heypierre.app
"Miles Johnson,James Pozdena",W23,2022,"B2B,Productivity",0,"Portland, OR",https://bookface-images.s3.amazonaws.com/small_logos/3de25b12e8aab670255b22d53c12d30ccd142ae5.png,"moonrepo is a developer tool that reduces build/test/deploy times, and maintenance costs for companies. We’ve achieved this through moon, our open source build system and repository management tool. moon can be paired with moonbase, our paid service that provides cloud caching, CI insights, code ownership, and health score related metrics. The company is founded by Miles Johnson and James Pozdena who have a combined 25+ years in the software development industry with tenure at Airbnb and Coinbase.",moonrepo,"Portland, OR, USA",Open source build tool for monorepos and large codebases,Active,"developer-tools,saas,productivity,open-source",2,https://moonrepo.dev
"Joe DeMaria,Arnold Villatoro",W23,2022,B2B,0,"Los Angeles, CA",https://bookface-images.s3.amazonaws.com/small_logos/e0a3c07cf6fd105816972e25920b72ed037437e2.png,"SpecCheck is an all-in-one solution that provides accurate prescription eyewear ordering and tracking, seamless billing, and streamlined communication between patients, eye doctors, and their lab partners. SpecCheck’s users work more efficiently and make fewer costly errors, increasing productivity and improving their overall workflow. ",SpecCheck,"Los Angeles, CA, USA",Unifying how the optical industry does business.,Active,"saas,payments,health-tech,b2b,api",5,https://www.speccheckrx.com/
"Lucas Ochoa,Gautam Bose",W23,2023,"B2B,Operations",1,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/33598558818f290fb0d366a1c310188cc6ebe31a.png,"Traditional automation software is slow and expensive, Automat is 10X faster and 1/10th the price. It lets operations teams automate using video and natural language.

🧐 The problem: Traditional Robotic Process Automation is slow and expensive.
💡 Our Solution: Automat makes it 10X cheaper and faster to build any robotic process automation using natural language on any operating system

We’re solving this by creating a platform that enables robotics process automation for Chrome using large language models and computer vision.

Currently our customers send us descriptions or videos of the processes they’d like us to automate and we use our internal tooling to quickly build out those automations.",Automat,"San Francisco, CA, USA",AI enabled RPA using ChatGPT and computer vision,Active,"documents,developer-tools,robotic-process-automation,automation,ai",,https://www.runautomat.com/
"Jatin Mehta,Ayush Jasuja,Ranti Dev Sharma",W23,2023,"B2B,Marketing",3,,https://bookface-images.s3.amazonaws.com/small_logos/0411b685c297834944f38c4af4578bf836b3e82e.png,"SpeedyBrand provides SMBs with generative-AI powered marketing content that is effective and affordable. We achieve this by training custom AI models for individual businesses to create hyper-personalized marketing content that gets them more business leads.

We are 3 AI engineers who've shipped AI products at companies like Apple, Microsoft and Nextdoor. We previously founded Vetan — an SMB payroll company where we served over 30k SMBs.",SpeedyBrand,Remote,Generative-AI powered Marketing Content for SMBs,Active,,8,https://speedybrand.io
Andy Wang,W23,2023,"B2B,Finance and Accounting",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/557c98b8f70c89cba35c85bc1777b4bb74ad2bf9.png,"Finta is the easiest way for startups to manage taxes, bookkeeping, and track financial metrics - all in one platform. It replaces Quickbooks and the need to pay expensive bookkeepers.

Finta gives you squeaky clean books, files your taxes compliantly on time, and access to a dashboard to track burn, cash, runway, and everything else about your finances.

You can easily integrate Finta with modern tech tools like Brex, Ramp, Mercury, Stripe, Gusto, Rippling, Pulley, Carta, and more.

Finta is the source of truth for your financial data as you scale.",Finta,"San Francisco, CA, USA",Accounting and taxes for startups,Active,saas,2,https://www.finta.com/
