active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
Chris Pihl,W17,,"Healthcare,Therapeutics",0,"Seattle, WA",https://bookface-images.s3.amazonaws.com/small_logos/3d163f0758d535d9b800f2a88bdefffc73c5bbe2.png,"Sigma Genetics develops devices that can deliver DNA, RNA, and other charged molecules into cells by using magnetic fields. When compared to conventional electroporation, this technique has several key advantages, which include: the absence of arcing, the ability to scale, and the benefit of being non-invasive for in vivo applications. This platform technology can be applied to a wide range of applications- cell therapies, cancer drug delivery, DNA vaccines, biopharma manufacturing, and cosmetics.",Sigma Genetics,"Seattle, WA, USA",Sigma Genetics is a biotechnology company that is building…,Active,"biotech,genomics",2,http://www.sigmagenetics.com
"Parker Conrad,Prasanna S",W17,2016,"B2B,Human Resources",2,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/2758f61527dbe7c44609bc669149123e07509b8d.png,"Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system.

Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even third-party apps like Slack and Microsoft 365—all within 90 seconds. 

Based in San Francisco, CA, Rippling has raised $1.2B from the world’s top investors—including Kleiner Perkins, Founders Fund, Sequoia, Greenoaks and Bedrock. 
",Rippling,"San Francisco, CA, USA","One place to run all your HR, IT, and Finance. Globally.",Active,hr-tech,2500,http://rippling.com/
"Pedro Franceschi,Henrique Dubugras",W17,2017,"Fintech,Banking and Exchange",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/72237ca3782563f0b12ffe1fe9869d878c153ab6.png,"Brex is the AI-powered spend platform for modern companies, from startups to enterprises. Combining corporate cards, expense management, travel, business accounts, and bill pay, Brex makes it easy to control spend before it happens with unprecedented efficiency and accuracy. Our mission is to empower employees anywhere to make better financial decisions, so we designed our platform to make expenses almost effortless with unrivaled automation of manual expense work and real-time tracking. Brex supports more countries and currencies than any other spend solution. Brex has tens of thousands of customers, including some of the most successful, high-growth companies, such as DoorDash, SeatGeek, Coinbase, ScaleAI, MasterClass, Indeed, Allbirds, and Superhuman.

Brex offers:
- Corporate cards with 10-20x higher limits
- Business accounts with easy wires, same-day liquidity, fast global payments, and $6M in FDIC insurance
- Reward options that include billboards, offsites, and coaching
- Founder-friendly financial modeling tools
- Special events and masterclasses for founders
- Advanced spend management software as startups grow that includes global capabilities, travel, bill pay and more.

",Brex,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",Active,fintech,1000,https://www.brex.com
Wei Deng,W17,,"Healthcare,Healthcare Services",13,,https://bookface-images.s3.amazonaws.com/small_logos/e00070fbe06d18db6bc2760c388b722aae67859a.png,"Clipboard Health exists to lift as many people up the socioeconomic ladder as possible. We dramatically improve lives by letting healthcare professionals turn extra time and ambition into career growth and financial opportunity. We achieve this with our app-based marketplace that connects healthcare facilities and healthcare professionals, allowing healthcare professionals to book on-demand shifts and healthcare facilities to access on-demand talent. Our mission is to enable healthcare professionals to work when and where they want and to enable healthcare facilities to meet their talent needs.

Clipboard Health is a fast-growing Series C startup with classic two-sided network effects. We have product-market fit, generate substantial revenue, and we are helping nurses fix healthcare one shift at a time.

Clipboard Health is a diverse and inclusive company with a global, remote-first team of hundreds of people. We’ve been featured on YC’s Top Companies and grown our revenue 25x in the last 18 months. We need your help to keep growing so we can serve more healthcare professionals, healthcare facilities, and patients.",Clipboard Health,Remote,Connects healthcare facilities with nurses nearby.,Active,"marketplace,consumer-health-services,health-tech,digital-health",600,https://www.clipboardhealth.com/careers
"Marcelo Cortes,Daniele Perito,Max Rhodes",W17,2017,"B2B,Retail",1,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/3ccfa8cd66f2a1d09da157956ae8b5686f3b2fe5.png,"Faire is an innovative online marketplace that uses machine learning to match local retailers with the brands and products that uniquely fit their stores. We are using the power of technology to connect brands and independent retailers from all over the world, building a thriving community of hundreds of thousands of retailers, which has resulted in over 7 million new connections to date. Faire was founded on the belief that the future of retail is local.

Our mission is to empower brands and retailers to strengthen the unique character of local communities. Our data-driven approach unburdens retailers from decades-old obstacles by helping find the right products for their shop. Plus, our straight-forward financial terms level the playing field by eliminating inventory risk and providing access to capital—key offerings previously only available to big box chains. For brands, our platform provides powerful sales, marketing, and analytics tools that simplify their business and allow them to focus on what they love: making great products.
",Faire,"San Francisco, CA, USA",The global online platform empowering independent retail.,Active,"marketplace,retail",900,https://www.faire.com/
Anthony Romero,W17,,Unspecified,0,New York,https://bookface-images.s3.amazonaws.com/small_logos/cabb84499361a6851eec31b34582727ae4e362a2.png,"The ACLU is our nation's guardian of liberty, working daily in courts, legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country. The ACLU is a nonprofit and nonpartisan organization that has grown from a roomful of civil liberties activists in 1920 to an organization of more than 500,000 members and supporters today. We handle nearly 6,000 court cases annually from our offices in almost every state.

The ACLU is supported by annual dues and contributions from its members, plus grants from private foundations and individuals. We do not receive any government funding. 

We protect:
Your First Amendment rights - freedom of speech, association and assembly; freedom of the press, and freedom of religion. 
Your right to equal protection under the law - protection against unlawful discrimination. 
Your right to due process - fair treatment by the government whenever the loss of your liberty or property is at stake. 
Your right to privacy - freedom from unwarranted government intrusion into your personal and private affairs. 
The ACLU also works to extend rights to segments of our population that have traditionally been denied their rights, including people of color; women; lesbians, gay men, bisexuals and transgender people; prisoners; and people with disabilities.",ACLU,"New York, NY, USA",Defender of rights and liberties,Active,"nonprofit,legal",501,https://www.aclu.org/
David Hsu,W17,,"B2B,Productivity",6,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/ecc14f4467de840a1f3cab7b6be0c2d1c0ab785c.png,Retool is the fast way to build internal tools.,Retool,"San Francisco, CA, USA",Build internal tools fast.,Active,developer-tools,300,https://retool.com
"Kevin Kliman,Matt Loszak",W17,2016,"B2B,Human Resources",0,"Toronto, Canada",https://bookface-images.s3.amazonaws.com/small_logos/70d437d1c52cbad85538f3753253662f57d59057.png,"Humi is building important infrastructure for Canada's economy. Software that helps SMBs employ Canadians. 

Payroll, HR, and Benefits all together in a single simple to use platform.

Serving thousands of Canadian companies, Humi’s clients include innovators such as Ada, Hubdoc, LiveCA, AudioBooks.com, Inkbox, and others. 

www.Humi.ca",Humi,"Toronto, ON, Canada","Payroll, HR, and Health Benefits for Canada's SMB's",Active,fintech,141,http://www.humi.ca
"Nikolai Eroshenko,Hannu Rajaniemi",W17,,"Healthcare,Drug Discovery and Delivery",0,Boston,https://bookface-images.s3.amazonaws.com/small_logos/f05a634de42c2c96484608b63b33b99fd27aa56e.png,"Technology finds information and delivers physical products to us almost instantly. mRNA does the same for biology. At HelixNano, we see a world where treatments are cheap, progress is decentralized, and you can modify biology at the push of a button.

By focusing on mRNA improvements from first principles, we’re getting there faster than we thought. Experiments that used to take months or years can be done in weeks and cost thousands instead of millions. The rate limiting step for our progress is now scientific curiosity.

Rigid hierarchies and top-down decisions will miss the magic. Some of our most powerful technologies started out as side projects of junior team members. At HelixNano, every individual scientist can have a massive impact on the company's direction. And the more diverse our team, the faster we’ll find the really cool ideas.

We've started rolling out some of our new tech — moving a COVID-19 vaccine candidate for the immunocompromised towards the clinic, and testing an intervention with massive environmental impact. But we’re scientists at heart, and team focus is solidly on the horizon.",Helix Nanotechnologies,"Boston, MA, USA","Next-generation mRNA platform to solve cancer, COVID and climate.",Active,"artificial-intelligence,biotech,genomics,nanotechnology",16,http://helixnano.com
Evgeny Kuryshev,W17,2017,"Consumer,Social",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/410226e6cc4a405060b8845ca57a12726472ea14.png,Mirror Emoji Keyboard by Mirror AI is an app that takes a photo of your face and creates you a set of personalized emoji. You get hundreds of them ready to be shared on messengers or social networks.,Mirror AI,"San Francisco, CA, USA",App that turns selfie photos into thousand emoji that look like you…,Active,"computer-vision,entertainment",7,http://mirror-ai.com
