active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Carly Leahy,Afton Vechery",S17,2017,"Healthcare,Consumer Health and Wellness",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/b80c9ee16644141e27cf06459324dccdc7fd94bf.png,"We're a women’s health company making personalized reproductive health information more accessible, earlier in life. We make the same laboratory tests that were previously confined to fertility clinics more accessible for women at home. By arming women with powerful information about their reproductive health, Modern Fertility is closing the fertility information gap and enabling women to own the decisions impacting their bodies and futures. We've raised $22 million from Forerunner Ventures, Maveron, Union Square Ventures, First Round Capital, #Angels and Y Combinator.
",Modern Fertility,"San Francisco, CA, USA",At-home fertility test for women who aren't ready for kids right now…,Acquired,"fertility-tech,consumer-health-services,women's-health",25,https://www.modernfertility.com
Reilly Sweetland,S17,,"B2B,Productivity",0,"San Jose, CA",https://bookface-images.s3.amazonaws.com/small_logos/793024bcad049e570384ad1ef56b89ad94fe10db.png,"FollowUpThen is a personal assistant that sends you exactly what you need at exactly the right moment to get something done. Its uncanny timing is not the result of AI wizardry, but rather an explicit reminder syntax that is embedded in an email address. Email 1min@followupthen.com, 1hour@followupthen.com or {any-time}@followupthen.com and you'll get the email back at that time. Adding a reminder to any email is a one-second operation thanks to your email client's address autocomplete.

Example use-cases include:
 * Following up with sales prospects
 * Maintaining relationships
 * Task delegation (put FollowUpThen in the bcc field)
 * Just-in-time reminders to get a task done (pay bills, etc)
 * Hitting inbox zero (forwarding emails to your future)

In today's workplace we are bombarded with realtime demands on our attention. FollowUpThen answers this trend by making work more asynchronous, allowing you to place information in the future,  giving you freedom and peace of mind in the present and allowing you actually get something done.",FollowUpThen,"San Jose, CA, USA",FollowUpThen is an email-based personal assistant that sends you…,Active,"artificial-intelligence,productivity,automation",1,https://www.followupthen.com/
"Edward Cibor,Steven Clausnitzer,Mark Katakowski",S17,2015,"Healthcare,Therapeutics",0,"Ann Arbor, MI",https://bookface-images.s3.amazonaws.com/small_logos/2551f858875b49e48688473a8dad17ee8425d618.png,"Forever Labs collects and stores adult stem cells, and develops therapies based upon stem cell rejuvenation.",Forever Labs,"Ann Arbor, MI, USA","We bank your stem cells to help you live healthier, longer.",Active,,12,https://foreverlabs.com
"Jan Alexander Jedlinski,Benjamin Bartakovics,Daniel Bartakovics,Michael Ströck",S17,2017,"B2B,Recruiting and Talent",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/2eb845253b30b7d03651816b8bbbf27b80eaffa2.png,"Candidately simplifies the process of sharing candidate resumes between staffing firms and their clients. Instead of relying on email attachments, Candidately offers a collaborative space where staffing firms can submit their top candidates, receive prompt client feedback, track client activity on candidate profiles, and increase the number of successful placements.",Candidate.ly,"New York, NY, USA",The digital storefront for staffing and recruiting teams.,Active,"saas,b2b,recruiting,hr-tech",9,https://candidate.ly/
"Alyona Medelyan,Nathan Holmberg",S17,2017,"B2B,Analytics",0,"Auckland, New Zealand",https://bookface-images.s3.amazonaws.com/small_logos/0b48025641b05918c9b633d6b880a9862bf27619.png,"Thematic is a Customer Feedback Analysis platform. We pull feedback from sources you already use for surveying or talking to customers. We automatically discover themes in feedback and provide visualizations and reports that help improve customer satisfaction, prioritize product roadmap and track trends in customer feedback over time.",Thematic,"Auckland, Auckland, New Zealand",We analyze feedback to help companies improve customer loyalty,Active,"saas,b2b",21,http://www.getthematic.com
"Reeju Datta,Akash Sinha",S17,,"Fintech,Payments",1,"Bengaluru, India",https://bookface-images.s3.amazonaws.com/small_logos/7eb68658869d911582ae784bc8ff049cb6b4a898.png,"Cashfree is a next-generation payments company for Indian businesses. 

Cashfree helps 50,000+ businesses collect and send money with solutions such as an easy to integrate payment gateway that supports instant settlements & refunds; Payouts - an API banking platform for bulk disbursals; a split payment solution for marketplaces; a Bank Account Verification API; a dedicated UPI stack for businesses and Auto Collect - a virtual account solution to match inbound payments to customers. It counts Xiaomi, Nykaa, Zomato, Zoomcar, Cred, Swiggy, Shell, Zepto, Dunzo as well as donation platforms like Ketto and Milaap amongst its customers.

Cashfree is a licensed payment aggregator in India and works with all leading banks to build the core payments and banking infrastructure that powers Cashfree’s products. Cashfree is also integrated with major platforms like Shopify, Wix, Paypal, Amazon Pay, Ola Money and Google Pay.",Cashfree Payments,"Bengaluru, KA, India",Next-gen digital payments provider for India.,Active,payments,200,https://www.cashfree.com/
"April Chang,Robert Bartruff",S17,,"B2B,Recruiting and Talent",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/0f3baff26589296bfbecd152fe3a887fd60a04b0.png,10by10 is a marketplace to instantly match qualified candidates with companies by pooling candidates across recruitment agencies. Check out the testimonials on our website (www.10by10.io).,10 By 10,"San Francisco, CA, USA",10by10 is a unique marketplace in the recruiting agency industry for…,Active,"artificial-intelligence,marketplace,recruiting",5,https://10by10.io
"Matt Feury,Garrett Langley",S17,2017,"B2B,Engineering, Product and Design",10,"Atlanta, GA",https://bookface-images.s3.amazonaws.com/small_logos/ee69b5c905088288ff0fc007921dde14514a40a1.png,"Flock Safety provides the first public safety operating system that empowers private communities and law enforcement to work together to eliminate crime. We are committed to protecting human privacy and mitigating bias in policing with the development of best-in-class technology rooted in ethical design, which unites civilians and public servants in pursuit of a safer, more equitable society. 

Our Safety-as-a-Service approach includes affordable devices powered by LTE and solar that can be installed anywhere.  Our technology detects and captures objective details, decodes evidence in real-time and delivers investigative leads into the hands of those who matter. 

While safety is a serious business, we are a supportive team that is optimizing the remote experience to create strong and fun relationships even when we are physically apart. Our flock of hard-working employees thrive in a positive and inclusive environment, where a bias towards action is rewarded. Flock Safety is headquartered in Atlanta and operates nationwide. We have raised $150M in our Series E led by Tiger Global at a $3.5B valuation.",Flock Safety,"Atlanta, GA, USA",The first public safety operating system that eliminates crime.,Active,"hardware,machine-learning",1000,http://www.flocksafety.com
"Imran Khoja,Travis Noll",S17,2017,Government,1,Palo Alto,,"Our goal is to empower local government employees with the tools, technology, and support they need so they can deliver exceptional service to their taxpayers and feel proud of the work they do for their communities. We contribute by building software to streamline local government tax assessors’ workflows using AI. Specifically, we streamline the change of ownership process for real estate and create more seamless ways for tax offices to communicate digitally with their taxpayers.  

For instance, when properties get bought and sold, local governments have to process reams of paper in order to update their systems and perform the analyses necessary to update the tax roll. Our software makes this process 10x faster and much more enjoyable for employees in the tax office to complete, and creates trust and goodwill in the minds of taxpayers. ",Just Appraised,"Palo Alto, CA, USA",Just Appraised makes software for local governments.,Active,"saas,govtech",40,https://www.justappraised.com
Steven Bartel,S17,2017,"B2B,Recruiting and Talent",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/6a37f8c6b6d3cddaee978aab62ebe0f6bacec7db.png,"Gem’s talent engagement platform helps recruiting teams use data and automation to improve hiring speed, quality, and diversity.

Gem unifies data and context from the tools recruiters use every day, including email, applicant tracking systems, LinkedIn, and other social networks, to create a source of truth for all talent relationships. Armed with insights about the entire recruiting process, automation to reach out to talent at scale, and true cross-functional collaboration tools, TA teams can proactively and strategically plan for what’s ahead.

Gem's customers are savvy recruiting teams from industry-leading companies — like Wayfair, Dropbox, Nasdaq, Cisco, and Doordash — who understand that hiring the best talent in the market is key to maintaining their competitive advantage.",Gem,"San Francisco, CA, USA",Talent engagement platform,Active,"saas,b2b,recruiting",200,https://www.gem.com/
