active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Raj Kohli,Peter Huang",S23,2021,"Healthcare,Healthcare IT",0,"London, United Kingdom",https://bookface-images.s3.amazonaws.com/small_logos/15cc6519a2b0765f7891150168879dacd368471a.png,"Healthtech-1 automates repetitive processes for healthcare systems. We’re starting with the world’s most famous: the NHS. We’re already live in over 400+ primary care practices.

Based out of Raj's parents' Primary Care practice the Healthtech 1 team are systematically digitising the repetitive processes they experience everyday, saving thousands of hours of staff time. 

Why now? 
The UK's National Health Service (NHS) delivers free healthcare in 590 million patient contacts every year. Post-pandemic, Britain's most treasured institution is in crisis. Patient satisfaction is at 25 year low and 1/7 staff are applying for Non-NHS jobs fuelling an 11% recruitment gap. 

By digitising the 100s of repetitive processes in healthcare, Healthtech 1 will reverse the trend, and produce the world's most productive health care system.",Healthtech 1,"London, England, United Kingdom",Automating repetitive processes in healthcare,Active,"health-tech,workflow-automation,digital-health,healthcare",13,https://www.healthtech1.uk/
"Mitchell Angove,Meia Alsup,Tom Bishop",S23,2022,"Industrials,Agriculture",0,"Asheville, NC",https://bookface-images.s3.amazonaws.com/small_logos/8ebea1f97b9fb9414d0775e2f2eff98efacb7b81.png,"Feanix is a trailblazing force in the trillion-dollar animal breeding industry. Feanix leverages proprietary genetic testing advancements to provide genetics and breeding as a service. 
",Feanix Biotechnologies,"Asheville, NC, USA",Farm Genetics Made Easy - Using DNA and Software,Active,"artificial-intelligence,sustainability,climate,genomics",5,https://www.feanixbio.com/
"Dawson Chen,Ethan Hou",S23,2023,Consumer,1,,https://bookface-images.s3.amazonaws.com/small_logos/119d7a60f36724b2c8e50e07a148e97dcac4f648.png,"Martin is a personal AI butler — like Jarvis from Iron Man. Speak with Martin in our app, text him, or email him. Martin can get to know you, see your calendar and inbox, and proactively find ways to help—he’ll ask how your day went, brief you on upcoming meetings, and send you news updates you care about.",Martin,,"Your AI butler, like Jarvis.",Active,"artificial-intelligence,generative-ai,consumer,ai",3,https://www.trymartin.com/
"Sam O'Keefe,Miguel Toledo",S23,2023,"Fintech,Payments",3,,https://bookface-images.s3.amazonaws.com/small_logos/6db50cb8b7d8269f3c2b9ce2c300b8dd5e7d0bab.png,"Flex is a payment platform for businesses to accept HSA/FSA cards, unlocking the $120B per year sitting in HSA/FSA accounts. We offer a prebuilt, hosted checkout page or UI building blocks to integrate HSA/FSA payments directly into your existing payments flow. 
",Flex,Remote,Stripe for HSA/FSA payments,Active,,5,https://withflex.com/
"Kyle Corbitt,David Corbitt",S23,2023,"B2B,Engineering, Product and Design",1,"Seattle, WA",https://bookface-images.s3.amazonaws.com/small_logos/78827e9e8ab6d62b5e66b11dffea9ae771b7d97a.png,"OpenPipe is an SDK that abstracts away fine-tuning custom models. We capture your existing provider’s prompt-completion pairs in the background and use them to create a new model that is faster, cheaper and often more accurate than the original.",OpenPipe,"Seattle, WA, USA",Turn expensive prompts into cheap fine-tuned models,Active,"aiops,artificial-intelligence,open-source",2,https://openpipe.ai/
"Benedict Altier,Lucas Schneider",S23,2023,"Fintech,Insurance",0,,https://bookface-images.s3.amazonaws.com/small_logos/5e9b41e83a612b700ead913b983376272ea61f82.png,"CatX is a digital marketplace connecting insurance carriers with institutional investors to trade and transfer insurance risk efficiently. We help to make insurance risk models understandable and accessible for asset managers so they can unlock new sources of returns. In addition, we streamline and digitalize the entire risk transfer process, so insurers can get faster, cheaper access to capital from our partner funds. ",CatX,,The digital marketplace for insurance risk ,Active,"machine-learning,finance,analytics,insurance",2,https://catx.re
"Robert Huppertz,Jack Angela",S23,2021,"B2B,Analytics",0,,https://bookface-images.s3.amazonaws.com/small_logos/c8b46bfc8422d4590d819ae4695c62834845a549.png,"Orbio uses satellite imagery to track methane emissions from the oil & gas industry. We sell the data to financial companies that want to invest into the best performing energy companies.

Until today, oil & gas companies use excel-based emission factors to calculate and report their emissions. As these excel-based emission factors underestimate actual emissions by ~70%, the finance companies that invest into oil & gas can’t mitigate against incoming risks from new regulations, 

We have built a technology that can for the first time use satellite images to track methane from every single oil & gas facility on the planet, replacing emission factors and allowing finance companies to make the best bets on oil & gas companies that will withstand a wide avalanche of incoming regulation. In the summer 2023 our satellite-based technology got ranked #1 both in terms of accuracy and sensitivity of methane emission events by Stanford University in a peer-reviewed study, beating a range of multi-bn dollar competitors like Maxar.

Learn more at https://orbio.earth",Orbio Earth,Remote,Tracking methane emissions with satellites,Active,"satellites,analytics,climate,energy",8,https://www.orbio.earth/
"Brian Kim,Benjamin Anderson",S23,2023,"B2B,Engineering, Product and Design",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/ef294d8a3e99ae5f533ac21df5e5886e8713a73f.png,"Taylor is the control panel for enriching unstructured text in real-time. Business leaders and developers use Taylor to label and build products around their free text without the infrastructure and maintenance overhead. 

Why Taylor? Our customers previously relied on LLMs for tagging, extracting, and enriching data. They soon hit rate limits, high latency, and accuracy issues (LLMs are optimized for generative tasks, not structured high-accuracy workflows). With Taylor, teams get access to our proprietary models purpose-built for text classification and entity extraction. ",Taylor AI,"San Francisco, CA, USA",Unified Platform for Text Enrichment,Active,"developer-tools,saas,b2b,data-labeling,big-data",2,https://trytaylor.ai
"Joseph Saliba,Abraham Kuri Vargas,Eduardo Lopez De Leon,Carlos Alberto Medellin Gonzalez",S23,2022,Fintech,3,"Monterrey, Mexico",https://bookface-images.s3.amazonaws.com/small_logos/064ab4995b234ee61187e6d755a27338f57c5c90.png,"Coba makes it easy for Mexican knowledge workers employed by US companies to earn in US Dollars and seamlessly spend locally in Pesos.

On average, a knowledge worker will lose $1,000 per year in hidden ForEx and transfer fees. In that process, their money will touch at least 3 different accounts adding time and steps along the way. These workers’ require more than simple money movement, they demand a financial solution that addresses their specific needs: banking, saving, spending - all in two currencies.

Coba allows its users to not only deposit and save their earnings in a US account, but also access critical financial services at home in Mexico - from a local credit card to integrated bill pay. With Coba, remote workers can live across two currencies... efficiently and effortlessly.",Coba,"Monterrey, N.L., Mexico",Dual Currency Accounts For LatAm,Active,"fintech,latin-america,remittances",9,https://www.coba.ai
"Sandeep Pani,Naresh Ramesh",S23,2023,"B2B,Engineering, Product and Design",0,"London, United Kingdom",https://bookface-images.s3.amazonaws.com/small_logos/6a9169e160dd38d456fe04d3f659d2d15573346d.png,"We're building Aide, an AI-native IDE designed for engineers to enjoy problem-solving with agents by their side.

We're currently a team of two, based in London, United Kingdom. Between us, we have been tech leads with experience building testing infrastructure at Meta, payment systems for 150k merchants in India, been an ACM ICPC world finalist and Open-Source contributor to critical infrastructure including gRPC and the Bazel build system. We love dev tooling, and enjoy thinking about the future of programming.",CodeStory,"London, England, United Kingdom","Aide is an AI-native , privacy-first IDE built on top of VSCode",Active,artificial-intelligence,2,https://codestory.ai
