active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
Alex Polvi,S13,,"B2B,Infrastructure",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/0f9ad52c13f8ee67948f0995334dcaff8673134d.png,"CoreOS is part of the Red Hat family. A leader in the open source community and an innovator of open source projects, CoreOS creates and delivers critical components for containerized applications that help fuel broad adoption of secure, scalable and resilient infrastructure. The team maintains several open source projects, including: Container Linux: the secure automatic updating OS; and etcd, the distributed data store for Kubernetes. 

Join us at https://coreos.com/ and @CoreOS on Twitter.",CoreOS,"San Francisco, CA, USA",Open source tools of modern distributed systems.,Acquired,"open-source,devops",150,http://coreos.com
"Claire McDonnell,Kai Stinchcombe",S13,2012,Fintech,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/1b794ee20f4526f19cea991d495b3ed835119dbc.png,"True Link exists to provide life-changing financial solutions for people with complex needs and the people who care for them. We founded the company to make life better for our own loved ones, and we’re honored to serve vulnerable elders, people with disabilities, and people in recovery – and their families and professional caregivers – day in and day out.

We’re a caring, diverse, values-driven company, with customers who say things like, “Your company saved my marriage,” “If not for True Link my Son would have returned to substance use,” and “This is the single best product I have ever experienced.” We’re a fast-growing fintech startup that also gets to provide our customers a life-changing solution to some of the most deeply personal, important problems in their lives.",True Link,"San Francisco, CA, USA",Financial Services for Financial Caregivers. ,Active,fintech,100,https://www.truelinkfinancial.com/
"Bryant Chou,Sergie Magdalin,Vlad Magdalin",S13,2013,"B2B,Marketing",3,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/c2275979b46d95062b78be0329b056f2290e3143.png,"Webflow is the leading no-code visual web development platform. It seamlessly generates sophisticated code so anyone can build powerful web-based businesses and adapt to changes without developers or months of building. 

From entrepreneurs and creative agencies to Fortune 500 companies, Webflow makes the internet a more inclusive place by making the tools to build on it more accessible to more people, fueling business growth. Webflow powers websites for innovators like Discord, Monday.com, IDEO, Orange Theory Fitness, TED, and Dropbox. 

Webflow is backed by Y Combinator, Accel, CapitalG, Silversmith, and other awesome investors.",Webflow,"San Francisco, CA, USA",Professional website design and publishing platform. ,Active,"saas,design,marketing",600,https://webflow.com
Jake Heller,S13,2013,"B2B,Legal",0,San Francisco,,"Casetext, the most widely used A.I. legal research technology, has been adopted across the legal market from the largest Am Law 100 law firms to solo practices. Its award-winning technology offers both conventional search functionality and its CARA A.I. powered contextual search, focuses on the context of your research to help you find on-point authorities faster. Founded by a team of former litigators from top law firms, as well as Ph.D. data scientists and leading A.I. engineers, Casetext helps legal researchers find the best cases, faster, including many that they would otherwise miss. For more information, visit www.casetext.com or contact our team at contact@casetext.com.",Casetext,"San Francisco, CA, USA",We make the world's laws free and understandable. ,Acquired,"artificial-intelligence,legal",50,http://casetext.com
"Andy Fang,Stanley Tang,Tony Xu",S13,2013,"Consumer,Food and Beverage",9,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/d13287c52acc96909f32342e85c26a33cfdac310.png,"Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 600 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time. 

Read more at blog.doordash.com, and find us on Glassdoor.",DoorDash,"San Francisco, CA, USA",Restaurant delivery.,Public,"marketplace,e-commerce",8600,http://doordash.com
Harry Zhang,S13,,"B2B,Marketing",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/400c96e59ec9e937535827fdd7b324a248dec955.png,"Lob provides the building blocks for developers to automate the offline world. Enterprise companies use Lob’s suite of APIs to mail fully dynamic and personalized customer communications with print media. We provide insight into deliverability with piece-by-piece tracing and utilize our proprietary Print Delivery Network to streamline production across fully redundant nodes all over the country. 

Founded in 2013 and based in San Francisco, Lob is venture backed by Y Combinator, Polaris Partners, Floodgate, and First Round Capital.

Find out more about Lob and what we’re up to by following our blog: https://lob.com/blog or visiting our website: https://lob.com.",Lob,"San Francisco, CA, USA",Lob is the only automation platform that transforms direct mail into…,Active,automation,150,http://lob.com
Michal Martyniak,S13,,"Consumer,Home and Personal",0,"Kitchener, Canada",,"Reebee is the best way to browse and distribute flyers. 

The reebee mobile application makes it easy for customers to browse and discover local flyers, stay organized with an integrated shopping list, search products and much more. 

Available for free in Canada on the Apple App Store, Google Play, and BlackBerry World. 

Reebee specializes in targeted flyer distribution, engaging the consumer audience through a rich mobile experience.

Digital distribution not only fills in the voids of physical distribution, but it also reaches a new audience with distinctly measurable results. Track consumer buying signals like never before.",Reebee,"Kitchener, ON, Canada",Flyer app.,Active,,11,http://reebee.com
"Lukasz Kostka,Jakub Krzych",S13,2012,"B2B,Supply Chain and Logistics",0,"Kraków, Poland",https://bookface-images.s3.amazonaws.com/small_logos/b1022b189da1170d9d3a55d289c07ace6650eb51.png,"Estimote, Inc. is the creator of SpaceTimeOS, a revolutionary operating system installed directly on physical spaces to make them programmable and interactive. 

Small sensors are attached to walls and items. They talk to each other and communicate with  with servers. A digital copy of the physical space is created in the cloud, allowing for inch-precise and real-time tracking of assets, people, and vehicles. When they move or interact with each other pre-programmed actions are triggered as defined in the apps ""installed"" in different rooms or places. Apps can be downloaded from the marketplace of create by developers using JavaScript and a robust API.

The system utilizes wireless technologies such as Bluetooth and Ultra Wideband to automate processes and track the movement of objects. SpaceTimeOS allows for the creation of smart workplace applications and the digital twinning of entire businesses and supply chains, as well as the blending of physical and digital data.","Estimote, Inc.","Kraków, Lesser Poland Voivodeship, Poland",Location intelligence platform,Active,"developer-tools,indoor-mapping",40,http://estimote.com
"- -,Amir Elaguizy",S13,,"B2B,Retail",0,"Austin, TX",https://bookface-images.s3.amazonaws.com/small_logos/6bac116b447d560f931d3a25197be9f97f49ee58.png,"Cratejoy is the only all-in-one subscription box solution to help you launch, grow and scale your company. We provide the leading subscription box platform that allows you to launch and grow your business faster and more efficiently - no coding or plug-ins required.

We support over 2,500 companies on our platform and over 1 million subscribers on the Cratejoy Marketplace. Founded in 2014, Cratejoy is headquartered in Austin, TX",Cratejoy,"Austin, TX, USA",Cratejoy is the platform for subscriptions,Active,subscriptions,51,http://cratejoy.com
Aaron Feuer,S13,2012,Education,0,Boston,https://bookface-images.s3.amazonaws.com/small_logos/cf3c7c83086821a88ee659c700552b3a9a953709.png,"Panorama is a fast-growing national technology company focused on improving education. More than 2,000 school systems serving 15 million students across 50 states have adopted our platform to understand students’ academic and social-emotional strengths and to identify those in need of additional support. 

School systems turn to Panorama's suite of tools to ensure that every child gets the support they need, including school climate and social-emotional learning surveys, tiered intervention planning, and professional development.",Panorama Education,"Boston, MA, USA",Improving education for every student.,Active,"education,saas,b2b",350,https://www.panoramaed.com/
